id,pop,reef,site,Sample ID
1,Low Isles flat,Low Isles,L1,LI F1
2,Low Isles flat,Low Isles,L1,LI F2
3,Low Isles flat,Low Isles,L1,LI F3
4,Low Isles flat,Low Isles,L1,LI F4
5,Low Isles flat,Low Isles,L1,LI F5
6,Low Isles flat,Low Isles,L1,LI F6
7,Low Isles flat,Low Isles,L1,LI F7
8,Low Isles flat,Low Isles,L1,LI F8
9,Low Isles flat,Low Isles,L1,LI F9
10,Low Isles flat,Low Isles,L1,LI F10
11,Low Isles flat,Low Isles,L1,LI F11
12,Low Isles flat,Low Isles,L1,LI F12
13,Low Isles flat,Low Isles,L1,LI F13
14,Low Isles flat,Low Isles,L1,LI F14
15,Low Isles flat,Low Isles,L1,LI F15
16,Low Isles flat,Low Isles,L1,LI F16
17,Low Isles flat pale,Low Isles,L1,LI F17
18,Low Isles flat pale,Low Isles,L1,LI F18
19,Low Isles flat pale,Low Isles,L1,LI F19
20,Low Isles flat pale,Low Isles,L1,LI F20
21,Low Isles flat,Low Isles,L1,LI F21
22,Low Isles flat,Low Isles,L1,LI F22
23,Low Isles flat,Low Isles,L1,LI F23
24,Low Isles flat,Low Isles,L1,LI F24
25,Low Isles slope,Low Isles,L2,LI S1
26,Low Isles slope,Low Isles,L2,LI S2
27,Low Isles slope,Low Isles,L2,LI S3
28,Low Isles slope,Low Isles,L2,LI S4
29,Low Isles slope,Low Isles,L2,LI S5
30,Low Isles slope,Low Isles,L2,LI S6
31,Low Isles slope,Low Isles,L2,LI S7
32,Low Isles slope,Low Isles,L2,LI S8
33,Low Isles slope,Low Isles,L2,LI S9
34,Low Isles slope,Low Isles,L2,LI S10
35,Low Isles slope,Low Isles,L2,LI S11
36,Low Isles slope,Low Isles,L2,LI S12
37,Low Isles slope pale,Low Isles,Low Isles slope pale,LI S16
38,Low Isles slope pale,Low Isles,Low Isles slope pale,LI S17
39,Low Isles slope pale,Low Isles,Low Isles slope pale,LI S18
40,Low Isles slope pale,Low Isles,Low Isles slope pale,LI S19
41,Low Isles slope,Low Isles,L2,LI S20
42,Low Isles slope,Low Isles,L2,LI S21
43,Low Isles slope,Low Isles,L2,LI S22
44,Low Isles slope,Low Isles,L2,LI S23
45,Low Isles slope,Low Isles,L2,LI S24
46,Low Isles slope,Low Isles,L2,LI S25
47,Low Isles slope,Low Isles,L2,LI S26
48,Low Isles slope,Low Isles,L2,LI S27
49,Low Isles Woody flat,Low Isles,L2,W1
50,Low Isles Woody flat,Low Isles,L2,W2
51,Low Isles Woody flat,Low Isles,L2,W3
52,Low Isles Woody flat,Low Isles,L2,W4
53,Low Isles Woody flat,Low Isles,L2,W5
54,Low Isles Woody flat,Low Isles,L2,W6
55,Low Isles Woody flat,Low Isles,L2,W7
