FluorCam7 Numeric Avg Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18	Area 19	Area 20	Area 21	Area 22	Area 23	Area 24
Size [pixels]	2091	2702	2657	2362	1983	2118	2433	3258	3951	2845	3164	2419	2604	3239	3707	3600	3841	2699	1852	3105	4009	3784	2960	3212
Fo	3183.85	3358.36	3496.10	3261.60	3637.60	4097.78	3486.11	3157.25	3112.32	3295.03	3512.22	3741.33	3204.27	3236.85	3226.87	3501.06	3997.21	4720.85	3327.50	3662.23	4025.98	4113.29	4513.91	5513.40
Fm	8670.20	8990.74	9334.79	8660.57	8340.45	8973.12	9320.71	8862.15	8863.71	8828.22	8479.98	8567.07	9122.19	8781.86	9014.25	8961.62	9294.94	9419.59	9143.30	10275.80	10409.83	10084.80	9491.93	10383.85
Fv	5486.35	5632.38	5838.69	5398.97	4702.85	4875.34	5834.60	5704.90	5751.39	5533.19	4967.76	4825.73	5917.92	5545.01	5787.37	5460.56	5297.72	4698.74	5815.80	6613.57	6383.85	5971.51	4978.02	4870.45
Fm_Lss1	8619.16	8788.89	9119.27	8440.04	8064.18	8885.91	9257.68	8826.23	8761.29	8782.61	8389.92	8620.24	9060.93	8760.51	8896.22	8829.52	8997.07	9241.79	8999.28	10141.13	10365.71	10046.70	9559.56	10273.42
Fm_Lss2	8539.07	8599.51	9002.32	8148.62	6851.34	7776.95	9164.66	8675.66	8612.56	8591.70	8025.23	8515.40	8881.15	8597.80	8623.43	8420.66	8554.80	9274.88	8938.00	9964.59	10312.41	9840.80	9423.47	10336.09
Fm_Lss3	8224.74	8366.31	8590.98	7728.66	5949.64	6974.81	8938.14	8304.27	8225.34	8230.64	7565.60	8374.34	8618.40	8477.27	8206.83	7879.99	8281.90	9121.09	8725.79	9754.86	10047.41	9623.77	9078.59	10228.47
Fm_Lss4	8342.29	8366.21	8638.93	7530.26	5441.90	6425.65	8891.55	8291.25	8219.26	8167.96	7092.31	8495.30	8613.59	8249.80	8048.10	7283.86	8350.47	9409.44	8698.02	9775.99	9995.95	9464.21	9047.90	10420.85
Fm_Lss5	8351.80	8145.58	8359.37	7034.24	5124.03	6130.79	8796.32	8147.53	7963.78	7815.06	6597.63	8502.21	8379.91	7880.28	7616.54	6662.78	8317.08	9470.82	8419.52	9688.79	9615.86	8963.09	8992.11	10479.73
Fm_Lss6	8226.48	7972.55	8170.42	6569.80	4803.62	5959.88	8681.76	7855.44	7564.03	7502.88	6202.00	8435.09	7978.71	7411.68	7101.90	6159.03	8351.59	9430.32	8102.59	9270.76	9131.17	8300.22	8943.40	10586.47
Fm_Lss7	8091.87	7660.56	7846.44	6035.69	4603.73	5828.66	8494.77	7553.07	7104.94	7114.92	5842.94	8215.23	7417.93	6949.66	6640.21	5610.98	8232.87	9285.62	7618.94	8778.50	8545.43	7657.72	8990.38	10509.57
Fm_Lss8	7787.84	7405.51	7286.44	5521.48	4458.93	5709.94	7995.29	7139.07	6748.53	6514.98	5643.14	7996.24	6897.57	6552.65	6244.10	5246.22	7820.09	8831.27	7050.63	8084.04	7974.65	7039.65	8786.31	10216.57
Fm_Lss9	7392.74	6965.70	6992.32	5236.17	4460.14	5697.56	7609.40	6777.22	6265.08	6212.07	5407.50	7899.69	6543.82	6106.82	5763.02	4934.94	7637.26	8687.79	6677.16	7524.27	7302.53	6358.90	8825.09	9956.43
Fm_Lss10	6970.30	6614.14	6643.75	4888.25	4351.93	5837.24	7152.80	6324.19	5832.03	5806.86	5345.09	7652.21	6105.24	5794.06	5396.77	4568.22	7359.42	8236.33	6143.28	6901.70	6716.48	5768.50	8612.37	9599.21
Fm_Lss11	6516.85	6266.86	6267.34	4540.51	4317.71	5910.49	6753.89	5995.76	5515.46	5438.44	5290.10	7386.02	5793.79	5396.26	5126.42	4338.96	7069.61	7751.36	5737.50	6381.04	6305.22	5363.06	8511.96	9193.20
Fm_Lss12	6036.34	6076.12	5883.61	4275.48	4337.23	6013.68	6301.97	5554.32	5175.63	5132.85	5229.82	7210.21	5445.18	5189.66	4841.65	4119.35	6758.98	7283.04	5348.71	5940.40	5847.76	4983.14	8375.57	8732.03
Fm_Lss13	5673.02	5675.36	5574.98	4065.45	4376.05	6169.97	5910.20	5271.37	4855.94	4883.84	5255.50	6895.57	5261.49	4944.31	4596.23	4004.71	6521.61	6986.95	5140.44	5642.43	5542.43	4590.23	8135.98	8334.81
Fm_Lss14	5284.66	5431.92	5162.06	3828.28	4471.63	6322.67	5486.26	4923.96	4664.19	4625.14	5295.55	6634.31	5023.71	4754.54	4415.44	3856.18	6229.20	6659.09	4832.24	5368.47	5338.31	4411.86	7969.67	7971.49
Fm_Lss15	4942.04	5133.25	4864.45	3777.57	4542.90	6283.25	5156.81	4680.03	4415.40	4419.70	5374.41	6344.24	4755.11	4569.70	4235.55	3747.43	6007.41	6331.57	4601.36	5125.00	4993.68	4155.93	7746.23	7636.52
