FluorCam7 Numeric Avg Export File																								
-----------------------------------																								
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18	Area 19	Area 20	Area 21	Area 22	Area 23	Area 24
Size [pixels]	5730	6027	5129	5886	3746	5714	4100	6907	7527	7107	6146	5852	5748	6569	8274	6606	6308	5493	3234	6773	7258	6878	5673	6555
Fo	4759.19	4808.12	4212.11	5377.15	4817.38	4370.22	3092.13	4494.96	4377.88	4685	5018.79	6011.18	3705.89	3727.74	5293.85	4226.09	5553.57	6275	3580.37	4016.18	4369.07	4381.61	5893.13	6051.7
Fm	11461.72	11638.05	9748.47	10266.16	7259.18	6185.95	7780.91	11590.73	10734.11	9263.88	8103.49	7117.61	9144.46	8846.44	11947.79	7384.21	7227.63	6949.69	8617.82	10086.44	10211.95	7776.53	8202.56	6721.15
Fv	6702.53	6829.93	5536.36	4889.01	2441.8	1815.72	4688.78	7095.77	6356.23	4578.88	3084.7	1106.43	5438.57	5118.7	6653.94	3158.12	1674.07	674.69	5037.45	6070.26	5842.88	3394.93	2309.43	669.45
Fm_Lss1	11028.1	11219.41	9362.12	9638.19	7236.72	6181.61	7630.29	11468.13	10489.34	8865.3	8080.05	7096.36	8495.53	8239.89	11010.58	7096.72	7183.52	6996.8	8264.94	9669.54	9763.55	7360.86	8186.43	6720.88
Ft_Lss1	5002.79	5074.28	4438.58	5852	5323.06	4764.95	3279.2	4789.75	4670.4	5223.4	5749.12	6237.29	3913.22	3926.28	5515.34	4792.59	5786.79	6449.41	3802.15	4250.34	4594.04	4965.56	6303.82	6173.92
Fo_Lss1	4682.74	4735.13	4138.32	5199.7	4807.48	4368.06	3068.07	4476.4	4336.6	4580.85	5009.79	5996.02	3594.62	3615.59	5101.45	4130.33	5527.49	6313.37	3517.97	3948.4	4284.88	4246.49	5884.8	6051.49
Fv_Lss1	6345.36	6484.28	5223.8	4438.48	2429.24	1813.55	4562.23	6991.73	6152.74	4284.46	3070.26	1100.34	4900.92	4624.3	5909.13	2966.39	1656.04	683.42	4746.97	5721.14	5478.67	3114.37	2301.63	669.4
Fq_Lss1	6025.31	6145.12	4923.54	3786.19	1913.66	1416.66	4351.09	6678.38	5818.94	3641.9	2330.93	859.06	4582.31	4313.61	5495.24	2304.13	1396.73	547.38	4462.8	5419.2	5169.51	2395.3	1882.61	546.96
QY_max	0.58	0.59	0.57	0.48	0.34	0.29	0.6	0.61	0.59	0.49	0.38	0.16	0.59	0.58	0.56	0.43	0.23	0.1	0.58	0.6	0.57	0.44	0.28	0.1
Fv/Fm_Lss1	0.58	0.58	0.56	0.46	0.34	0.29	0.6	0.61	0.59	0.48	0.38	0.16	0.58	0.56	0.54	0.42	0.23	0.1	0.57	0.59	0.56	0.42	0.28	0.1
QY_Lss1	0.55	0.55	0.53	0.39	0.26	0.23	0.57	0.58	0.55	0.41	0.29	0.12	0.54	0.52	0.5	0.32	0.19	0.08	0.54	0.56	0.53	0.33	0.23	0.08
NPQ_Lss1	0.04	0.04	0.04	0.07	0	0	0.02	0.01	0.02	0.04	0	0	0.08	0.07	0.09	0.04	0.01	-0.01	0.04	0.04	0.05	0.06	0	0
qN_Lss1	0.06	0.06	0.07	0.12	0.01	0	0.03	0.02	0.04	0.09	0.01	0.02	0.12	0.12	0.14	0.09	0.03	-0.07	0.07	0.07	0.08	0.12	0.01	0
qP_Lss1	0.95	0.95	0.94	0.85	0.79	0.78	0.95	0.96	0.95	0.85	0.76	0.78	0.93	0.93	0.93	0.78	0.84	0.8	0.94	0.95	0.94	0.77	0.82	0.82
qL_Lss1	1.01	1.02	1.01	0.96	0.87	0.85	1.02	1.02	1.02	0.97	0.87	0.81	1.02	1.01	1.01	0.9	0.88	0.82	1.02	1.02	1.01	0.9	0.88	0.83
PAR1	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9
ETR1	2.3828	2.3887	2.2936	1.7132	1.1533	0.9995	2.4869	2.5397	2.4194	1.7916	1.2581	0.528	2.3523	2.2831	2.1766	1.416	0.848	0.3412	2.3549	2.4442	2.3091	1.4192	1.0029	0.3549
