FluorCam7 Numeric Avg Export File																									
-----------------------------------																									
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18	Area 19	Area 20	Area 21	Area 22	Area 23	Area 24
Size [pixels]	1946	2531	2957	3081	1797	1622	2742	1782	2900	1921	2137	2491	1270	2336	2449	2337	782	2445	2261	2715	1555	1623	1717	1491
Fo	3755.79	3585.22	4276.01	4135.98	4097.24	3497.81	3376.71	4165.14	3884.39	3945.89	4014.37	4071.25	2264.16	3678.65	4007.59	4066.13	2616.42	4656.42	2669.53	2841.04	2971.33	2772.36	3340.79	3082.57
Fm	11004.35	9687.5	11353.86	10453.38	9209.22	8287.39	9632.42	9525.28	9263.11	9774.72	8726.07	9864.26	6237.14	9219.83	9617.4	9468.79	5371.29	9941.61	8678.15	8884.54	8584.65	7911.1	7514.94	7440.64
Fv	7248.56	6102.29	7077.85	6317.4	5111.99	4789.58	6255.71	5360.14	5378.72	5828.83	4711.7	5793.01	3972.97	5541.18	5609.81	5402.66	2754.86	5285.18	6008.62	6043.5	5613.33	5138.74	4174.15	4358.07
Fm_Lss1	10782.81	9094.41	11196.45	10440.37	8146.5	7894.29	9462.76	9469.63	9213.92	9897.09	8297.97	9806.98	5708.39	8966.58	9480.69	9434.5	4866.41	9953.83	8425	8527.72	8054	7175.44	6863.31	6920.16
Fm_Lss2	6395.98	6893.32	6818.05	6916.34	5056.49	5206.51	7423.9	5512.86	6461.75	6632.33	5765.61	6536.37	2472.31	6768.22	6829.79	5098.36	2521.36	8090	5888.52	6197.69	5404.95	3583.08	3967.41	4729.24
Fm_Lss3	10067.98	7584.08	10003.48	9501.65	6912.83	7007.35	8937.7	9457.1	8603.43	9314.49	7232.2	9221.98	4803.24	8349.73	8652.62	8824.83	3672.2	9562.79	7483.21	7797.06	6705.23	5827.39	5787.16	5758.82
Fm_Lss4	9304.83	7133.27	9247.06	8489.86	6439.65	6910.82	8421.6	9074.2	7684.41	8197.37	6687.97	8554.95	3785.9	7982.76	8682.67	7735.17	3167.55	9201.04	6747.48	7073.12	6249.95	4941.69	5143.66	5565.97
Fm_Lss5	9130.07	6955.87	9286.84	8169.59	6715.19	7118.49	7963.55	8932.48	7744.86	7922.88	6989.45	8826.6	4176.15	7984.68	8691.03	7882.05	3472.23	9198.72	6471.66	6624.73	6206.5	5137.79	5470.62	5642.03
Fm_Lss6	7351.55	6322.89	7786.63	6680.16	6116.41	6285.21	6868.59	7401.04	6732.35	6539.81	6508.63	7692.31	3203.77	7218.33	7935.24	6601.76	2974.61	8525.35	5428.54	5629.98	5631.96	4007.86	4685.19	5228.68
Fm_Lss7	7385.72	6158.67	8068.56	6586.47	6609.4	6771.75	6578.81	7359.79	6586.01	6474.74	6881.54	8081.91	3375.4	7010.44	8046.25	6518.63	3306.93	8517.53	5260.93	5500.84	5534.83	4168.67	5051.78	5433.02
Fm_Lss8	6896.32	5725.58	7594.53	6168.13	6669.37	6665.57	6210.34	6919.35	6150.9	5964.7	6961.36	7916.97	3255.6	6590.69	7548.04	6024.61	3296.37	8177.27	4876.25	5144.69	5214.85	3849.31	5069.56	5423.75
Fm_Lss9	6621.82	5417.88	7392.48	5983.32	6730.28	6621.46	5860.66	6764.8	5847.76	5665.36	7090.46	7880.11	3305.45	6225.86	7182.54	5904.14	3577.1	8006.34	4710.89	4863.31	5125.79	3759.2	5232.63	5547.5
Fm_Lss10	5195.25	4713.2	5705.22	4760.17	5522.85	5428.64	5011.81	5429.6	4761.2	4359.19	6128.97	6415.5	2369.09	5255.27	6009.26	4558.99	2685.27	6884.81	3834.8	3935.33	4227.47	2721.13	4113.63	4710.94
Fm_Lss11	5828.06	4821.58	6486.83	5454.11	6532.23	6128.85	5252.92	6086.7	5207.06	5003.07	6804.35	7124.09	3135.96	5480.47	6284.7	5371.84	3494.71	7333.98	4228.22	4420.6	4504.7	3465.69	5003.65	5359.18
Fm_Lss12	5749.16	4482.95	6028.95	5084.73	6187.75	5775.93	4930.99	5747.86	4659.94	4558.98	6422.16	6779.38	2803.41	4962.92	5826.77	4823.73	3414.1	6838.16	3850.83	4072.49	4139.3	3080.37	4761.17	5145.05
Fm_Lss13	5186.65	4248.2	5534.77	4784.12	5807.45	5347.95	4604.64	5309.84	4464.43	4180.99	6137.15	6372.16	2635.81	4598.87	5383.01	4508.63	3324.51	6411.84	3585.12	3760.23	3790.59	2911.94	4541	4765.45
Fm_Lss14	5201.77	4046.11	5475.19	4758.05	5732.07	5290.81	4470.6	5238.18	4248.64	4082.87	5963.47	6182.23	2567.04	4399.15	5082.68	4375.14	3434.51	6239.3	3480.15	3709.43	3649.61	2871.79	4539.06	4834.49
Fm_Lss15	4969.14	3915.34	5114.86	4539.85	5464.43	5017.35	4313.41	5087.62	4064.25	3868.63	5711.83	5899.7	2426.16	4181.63	4860.98	4254.73	3310.44	5979.12	3354.24	3571.69	3436.68	2727.32	4401.94	4556.65
Ft_Lss1	4531.12	4882.02	5931.86	5608.11	5806.53	5470.14	4107.49	5120.84	5137.15	5426.76	5813.74	6799.29	2707.92	4520.58	4948.23	4954.43	3020.9	7553.73	3128.66	3496.67	3878.59	3679.41	4835.34	4681.53
Ft_Lss2	4590.8	5029.88	6109.53	6354.41	6104.02	5778.02	4415.51	5750.45	5656.98	6085.17	6490.07	7813.7	2579.16	4694.99	5198.43	5954.37	3084.26	8857.56	3380.19	3995.98	4045.21	3951.63	4991.24	4904.65
Ft_Lss3	5412.79	5166.9	6459.75	6548.71	6306.28	6675.2	4923.27	6219.9	5490.62	6067.99	6724.94	8671.32	2791.78	4843.21	5554.25	5865.82	3233.76	9427.43	3794.09	4345.99	4183.21	3929.93	5290.35	5416.51
Ft_Lss4	5183.44	4836.8	6018.51	6117.37	6451.99	6425.42	4859.99	6151.39	5332.43	5843.7	6779.29	8393.45	2626.91	4813.65	5307.25	5927.22	3140.37	9306.54	3788.5	4382.45	3922.96	3788.61	5199.8	5079.5
Ft_Lss5	5648.34	4927.48	6389.37	6135.93	6902.9	7281.97	5144.98	6331.23	5233.17	5765.69	7168.27	9027.91	2857.81	4933.44	5640.77	5817.86	3433.4	9516.65	4034.55	4515.79	4224.63	3901.61	5558.39	5793
