FluorCam7 Numeric Avg Export File																								
-----------------------------------																								
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18	Area 19	Area 20	Area 21	Area 22	Area 23	Area 24
Size [pixels]	3059	2560	3566	1983	1496	3367	3985	3120	4195	3776	5139	4261	3484	4715	3629	4052	2906	3377	1729	2898	2279	1823	3564	2770
Fo	4180.64	4974.81	4707.79	4144.5	3883.31	4476.8	4868.37	5344.82	4881.61	4758.5	4091.52	7013.65	3163.94	4503.06	4041.2	5198.74	4051.8	4515.99	3486.05	3825.98	3384.23	3280.9	3856.34	4328.31
Fm	10189.17	12828.44	11840.07	11322.82	9842.76	12967.24	10489.49	12417.33	12322.56	11793.31	9763.94	13790.87	9832.79	12674.08	10839.79	12160.78	12650.03	13799.17	9732.17	9903.37	8750.16	8701.68	10187.52	11862.52
Fv	6008.53	7853.64	7132.29	7178.32	5959.45	8490.44	5621.12	7072.51	7440.95	7034.81	5672.41	6777.22	6668.84	8171.02	6798.59	6962.04	8598.23	9283.18	6246.13	6077.4	5365.93	5420.77	6331.18	7534.22
Fm_Lss1	10106.26	12647.19	11624	11252.17	9672.11	12747.3	10262.02	12105.41	12161.66	11520.09	9441.86	13436.6	9501.52	12574.82	10766.66	12205.67	12361.49	13616.32	9518.79	9616	8528.91	8533.77	9841.31	11514.22
Ft_Lss1	4470.47	5293.84	5076.41	4489.03	4196.94	4806.08	5095.98	5706.93	5352.8	5175.02	4501.11	7390.06	3378.27	4876.57	4412.05	5576.43	4367.77	4842.14	3680.07	4136.84	3640.53	3467.31	4145.57	4613.36
Fo_Lss1	4166.62	4947.31	4673.25	4135	3856.46	4450.29	4818.8	5286.19	4856.16	4713.4	4033.86	6920.85	3128.84	4490.47	4030.99	5206.93	4021.74	4496.23	3458.28	3782.31	3350.61	3256.74	3805.66	4281.05
Fv_Lss1	5939.64	7699.88	6950.75	7117.17	5815.65	8297.01	5443.22	6819.22	7305.5	6806.69	5408	6515.75	6372.67	8084.35	6735.67	6998.75	8339.75	9120.09	6060.51	5833.69	5178.3	5277.02	6035.65	7233.16
Fq_Lss1	5635.79	7353.36	6547.59	6763.14	5475.17	7941.23	5166.04	6398.49	6808.86	6345.07	4940.75	6046.54	6123.25	7698.25	6354.61	6629.24	7993.72	8774.18	5838.72	5479.16	4888.39	5066.46	5695.74	6900.86
QY_max	0.59	0.61	0.6	0.63	0.61	0.65	0.54	0.57	0.6	0.6	0.58	0.49	0.68	0.64	0.63	0.57	0.68	0.67	0.64	0.61	0.61	0.62	0.62	0.64
Fv/Fm_Lss1	0.59	0.61	0.6	0.63	0.6	0.65	0.53	0.56	0.6	0.59	0.57	0.48	0.67	0.64	0.63	0.57	0.67	0.67	0.64	0.61	0.61	0.62	0.61	0.63
QY_Lss1	0.56	0.58	0.56	0.6	0.57	0.62	0.5	0.53	0.56	0.55	0.52	0.45	0.64	0.61	0.59	0.54	0.65	0.64	0.61	0.57	0.57	0.59	0.58	0.6
NPQ_Lss1	0.01	0.01	0.02	0.01	0.02	0.02	0.02	0.03	0.01	0.02	0.03	0.03	0.03	0.01	0.01	0	0.02	0.01	0.02	0.03	0.03	0.02	0.04	0.03
qN_Lss1	0.01	0.02	0.03	0.01	0.03	0.03	0.04	0.04	0.02	0.04	0.06	0.05	0.05	0.01	0.01	-0.01	0.03	0.02	0.03	0.05	0.04	0.03	0.05	0.05
qP_Lss1	0.95	0.95	0.94	0.95	0.94	0.96	0.95	0.94	0.93	0.93	0.91	0.93	0.96	0.95	0.94	0.95	0.96	0.96	0.96	0.94	0.94	0.96	0.94	0.95
qL_Lss1	1.02	1.02	1.02	1.03	1.02	1.03	1	1.01	1.03	1.02	1.02	0.99	1.04	1.03	1.03	1.01	1.04	1.04	1.03	1.03	1.03	1.02	1.03	1.03
PAR1	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9
ETR1	2.432	2.5357	2.4566	2.6213	2.4688	2.7169	2.1955	2.3052	2.4417	2.4021	2.2821	1.9626	2.8106	2.6699	2.574	2.3687	2.8202	2.8103	2.6751	2.485	2.4996	2.5892	2.5241	2.6138
