FluorCam7 Numeric Avg Export File																								
-----------------------------------																								
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18	Area 19	Area 20	Area 21	Area 22	Area 23	Area 24
Size [pixels]	2117	2439	4024	3504	3111	4328	2280	3718	4103	3822	3772	3995	2488	3691	2912	5011	3078	3797	3134	3387	3500	2923	4000	3968
Fo	2389.3	2886.76	3702.1	4075.06	3607.04	3211.9	3371.49	2913.09	3843.44	3218.84	3633.31	3907.5	2579.02	3194.42	3495.52	3817.32	3835.04	2866.51	1990.94	2729.52	2676.54	2824.37	3429.59	2274.34
Fm	7056.61	8677.71	10579.44	11569.11	10545.57	9127.72	9557.22	8439.4	11504.57	9312.08	10461.78	11171.74	7536.95	9010.88	9770.99	10757.89	10365.89	8312.13	5922.05	8596.24	8275.38	8148.42	10360.37	6919.27
Fv	4667.32	5790.95	6877.34	7494.05	6938.53	5915.82	6185.73	5526.31	7661.13	6093.24	6828.47	7264.24	4957.93	5816.46	6275.46	6940.57	6530.85	5445.63	3931.11	5866.72	5598.84	5324.04	6930.78	4644.93
Fm_Lss1	7007.76	8529.91	10405.78	11254.63	10291.14	8932.89	9516.37	8177.46	11321.99	9127.24	10211.3	10960.15	7388.21	8817.62	9598.4	10572.28	10137.96	8120.82	5765.85	8416.91	8143.68	8014.53	10254.61	6844.32
Ft_Lss1	2554.77	3080.64	3926.46	4362.89	3849.93	3486.61	3567.8	3114.77	4098.12	3425.7	3884.09	4163.27	2729.3	3400.44	3703.25	4032.92	4072.67	3044.65	2108.08	2883.58	2845.82	2988.15	3639.47	2416.61
Fo_Lss1	2383.67	2870.21	3680.6	4035.34	3576.79	3187.43	3366.39	2881.23	3822.85	3196.46	3602.62	3881.29	2561.37	3169.79	3473.18	3793.69	3803.4	2843.41	1972.97	2711.18	2662.62	2808.11	3417.92	2266.18
Fv_Lss1	4624.09	5659.7	6725.17	7219.28	6714.34	5745.46	6149.98	5296.22	7499.14	5930.77	6608.68	7078.85	4826.84	5647.83	6125.22	6778.59	6334.55	5277.41	3792.87	5705.73	5481.06	5206.42	6836.69	4578.14
Fq_Lss1	4452.99	5449.27	6479.31	6891.74	6441.2	5446.28	5948.57	5062.69	7223.87	5701.54	6327.21	6796.88	4658.9	5417.18	5895.15	6539.37	6065.29	5076.17	3657.76	5533.32	5297.86	5026.38	6615.15	4427.72
QY_max	0.66	0.67	0.65	0.65	0.66	0.65	0.65	0.65	0.67	0.65	0.65	0.65	0.66	0.65	0.64	0.65	0.63	0.66	0.66	0.68	0.68	0.65	0.67	0.67
Fv/Fm_Lss1	0.66	0.66	0.65	0.64	0.65	0.64	0.65	0.65	0.66	0.65	0.65	0.65	0.65	0.64	0.64	0.64	0.62	0.65	0.66	0.68	0.67	0.65	0.67	0.67
QY_Lss1	0.64	0.64	0.62	0.61	0.63	0.61	0.63	0.62	0.64	0.62	0.62	0.62	0.63	0.61	0.61	0.62	0.6	0.63	0.63	0.66	0.65	0.63	0.65	0.65
NPQ_Lss1	0.01	0.02	0.02	0.03	0.02	0.02	0	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.02	0.02	0.02	0.01	0.01
qN_Lss1	0.01	0.03	0.03	0.04	0.04	0.03	0.01	0.05	0.02	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.02	0.03	0.02	0.02
qP_Lss1	0.96	0.96	0.96	0.95	0.96	0.95	0.97	0.96	0.96	0.96	0.96	0.96	0.97	0.96	0.96	0.96	0.96	0.96	0.96	0.97	0.97	0.97	0.97	0.97
qL_Lss1	1.03	1.03	1.03	1.03	1.03	1.04	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
PAR1	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9
ETR1	2.7713	2.7861	2.7156	2.6706	2.7297	2.659	2.7261	2.7	2.7826	2.7243	2.7023	2.7046	2.7501	2.6793	2.6786	2.6976	2.6092	2.7261	2.7667	2.8671	2.8372	2.7352	2.8134	2.8213
