FluorCam7 Numeric Avg Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18	Area 19	Area 20	Area 21	Area 22	Area 23	Area 24
Size [pixels]	7116	4381	4976	5693	6728	3792	4450	6090	5502	4143	6078	4153	4863	5343	7203	5447	4824	3701	4937	5213	5578	4657	3297	5163
Fo	2700.79	3209.50	3457.79	2874.72	2889.39	2583.09	2731.09	3042.08	3283.23	2937.50	3349.25	2829.17	2426.05	3407.78	3198.85	2697.04	2396.66	2059.64	2291.38	2733.89	3445.99	2253.00	2500.78	2818.66
Fm	7841.14	8961.51	9695.70	8021.91	7457.31	5629.69	7963.33	8496.27	9004.20	7983.47	7921.53	6130.87	7108.88	9960.36	9148.29	7491.96	5952.18	4444.93	6813.42	8124.54	10495.63	6041.67	6028.15	6272.40
Fv	5140.35	5752.01	6237.91	5147.20	4567.92	3046.60	5232.25	5454.19	5720.97	5045.98	4572.28	3301.70	4682.83	6552.58	5949.44	4794.92	3555.52	2385.30	4522.04	5390.65	7049.64	3788.67	3527.36	3453.74
Fm_Lss1	7718.81	8673.39	9466.04	7741.84	6767.48	5680.63	7836.96	8349.08	8874.77	7828.67	7339.85	6213.74	7026.76	9873.86	8961.58	7315.60	5243.49	4582.51	6655.54	7898.15	10320.33	5639.22	5274.64	6358.42
Fm_Lss2	7368.95	8079.52	8953.05	7171.99	5856.56	5586.93	7646.70	7838.62	8491.41	7322.30	6226.17	6145.46	6808.45	9576.52	8606.42	6859.02	4278.66	4482.82	6353.63	7540.03	9843.19	5207.27	4427.26	6136.21
Fm_Lss3	7070.58	7728.65	8702.42	6853.31	5361.42	5352.19	7271.39	7209.76	8245.85	6884.10	5358.10	5781.01	6542.74	9293.41	8327.22	6387.88	3527.38	4296.22	6073.69	7191.18	9390.66	4993.39	3779.12	5748.70
Fm_Lss4	6879.77	7377.51	8384.51	6668.31	5071.80	5303.42	6935.09	6810.19	7966.46	6639.53	4855.92	5572.73	6354.06	8901.14	7847.98	5980.93	3044.07	4216.38	5685.98	6794.28	8636.84	4870.81	3466.79	5706.80
Fm_Lss5	6421.72	6705.24	7735.96	6356.07	4725.98	5294.25	6471.30	6399.44	7551.33	6346.61	4564.32	5456.88	6019.59	7984.96	7164.87	5585.39	2728.69	4142.28	5200.77	6184.09	7739.67	4668.83	3314.43	5913.65
Fm_Lss6	5922.73	6074.72	6992.33	5877.04	4434.20	5263.31	6021.16	5992.73	7231.85	5916.20	4329.71	5330.27	5781.36	6873.98	6616.59	5128.24	2504.87	4060.03	4736.58	5643.80	6942.37	4428.03	3152.15	5862.09
Fm_Lss7	5268.93	5371.85	6153.41	5253.86	4011.38	4959.63	5394.12	5436.18	6562.87	5180.18	4067.52	4981.52	5207.22	5823.35	5951.29	4586.55	2300.45	3888.76	4205.77	5058.74	6097.70	3975.54	2989.19	5698.82
Fm_Lss8	4716.94	4814.10	5562.21	4775.49	3749.91	4831.44	4907.77	4982.18	5865.69	4648.19	3961.08	4785.96	4668.65	5107.12	5333.97	4146.69	2189.13	3758.10	3829.21	4572.94	5547.13	3638.89	2933.30	5602.37
Fm_Lss9	4206.10	4330.66	4963.90	4270.68	3475.82	4549.60	4404.95	4537.37	5185.19	4157.93	3803.97	4494.02	4095.55	4529.83	4807.92	3727.67	2104.68	3536.36	3441.39	4071.46	5053.22	3310.20	2818.31	5439.41
Fm_Lss10	3623.70	3730.83	4423.90	3767.66	3157.10	4100.98	3749.07	4016.82	4292.95	3638.82	3619.11	4015.76	3328.41	3966.72	4179.10	3288.85	2000.06	3261.55	3022.63	3508.84	4489.63	2888.00	2694.03	5108.00
Fm_Lss11	3429.87	3642.84	4217.10	3593.14	3098.72	4047.09	3667.31	3874.75	4044.44	3444.61	3642.53	3977.35	3147.46	3765.82	3947.99	3133.88	1988.27	3224.24	2877.32	3380.20	4327.42	2801.65	2704.28	5119.35
Fm_Lss12	3036.16	3219.64	3731.79	3125.21	2880.58	3563.74	3267.40	3500.67	3655.51	3044.76	3296.31	3370.70	2726.52	3421.52	3679.60	2761.56	1833.44	2823.74	2564.25	3072.63	3913.15	2465.80	2432.92	4490.19
Fm_Lss13	3010.52	3325.69	3813.30	3211.43	2956.63	3757.50	3338.98	3475.51	3492.56	3062.59	3575.48	3681.05	2663.05	3397.93	3537.92	2780.46	1961.84	2976.28	2529.04	3024.49	3949.54	2522.55	2665.20	4882.69
Fm_Lss14	2801.44	3149.06	3592.50	2994.74	2835.06	3476.80	3147.11	3293.42	3285.41	2870.77	3454.33	3409.85	2423.78	3243.37	3363.93	2623.20	1953.77	2778.44	2392.93	2859.72	3769.78	2367.00	2588.70	4652.27
Fm_Lss15	2739.03	3075.54	3510.41	2926.30	2846.06	3434.52	3076.73	3166.69	3140.76	2798.83	3510.91	3363.90	2296.71	3158.14	3236.30	2537.45	2017.63	2725.35	2316.58	2758.45	3694.89	2326.41	2660.93	4616.78
Ft_Lss1	3170.20	3827.06	4251.60	3743.04	3698.09	4096.09	3226.66	3552.97	3899.17	3531.01	4212.13	4965.86	2779.47	3924.12	3701.48	3210.40	2877.55	3092.90	2668.45	3293.74	4076.44	2985.12	3474.69	4415.42
Ft_Lss2	3439.52	4078.92	4640.36	4105.36	3874.56	5009.12	3508.84	3739.89	4117.48	3674.17	4235.87	5686.11	2930.65	4156.15	3980.73	3435.65	2875.14	3935.69	2927.62	3611.71	4522.36	3215.98	3521.45	5338.53
Ft_Lss3	3533.03	4171.53	4769.86	4111.37	3732.33	5150.46	3696.50	3762.66	4160.92	3729.62	4073.23	5658.99	2980.48	4379.99	4067.09	3456.21	2650.02	4079.36	3064.97	3723.80	4741.12	3172.91	3311.56	5577.28
Ft_Lss4	3641.67	4206.15	4813.97	4090.65	3596.71	5170.43	3889.49	3796.75	4199.48	3737.63	3877.69	5501.39	3049.30	4548.78	4095.29	3378.81	2418.98	4087.07	3129.98	3751.57	4728.43	3122.49	3099.81	5651.21
Ft_Lss5	3673.90	4105.19	4684.54	3966.12	3454.80	5103.46	4023.66	3860.36	4300.43	3706.32	3661.32	5296.87	3192.69	4479.99	4118.76	3278.96	2199.56	4026.73	3124.96	3721.96	4569.42	3073.25	2880.88	5491.30
Ft_Lss6	3478.58	3773.51	4326.03	3672.94	3233.87	4806.38	3819.20	3712.29	4182.82	3517.28	3440.37	4873.58	3098.07	4073.92	3916.60	3073.36	1990.55	3795.35	2945.83	3499.41	4259.30	2870.70	2683.45	5264.70
Ft_Lss7	3372.42	3620.80	4201.53	3630.20	3152.11	4890.92	3729.23	3619.56	4011.57	3416.27	3536.74	4910.12	3056.47	3809.02	3712.51	2997.79	1983.41	3839.36	2846.71	3382.96	4144.28	2816.15	2753.98	5617.46
Ft_Lss8	3142.69	3354.78	3907.61	3371.50	2993.29	4631.15	3493.62	3409.39	3723.28	3169.56	3451.16	4594.72	2834.20	3486.06	3483.27	2814.02	1905.87	3641.80	2685.65	3137.43	3908.15	2629.19	2682.72	5432.41
Ft_Lss9	3009.07	3253.24	3737.16	3236.97	2938.25	4534.00	3412.91	3309.14	3551.42	3018.00	3459.60	4481.24	2729.37	3314.63	3347.62	2686.62	1879.51	3567.26	2561.69	3028.38	3794.24	2524.97	2671.86	5368.56
Ft_Lss10	2705.04	2885.68	3340.14	2811.44	2688.36	3935.73	3015.10	3010.27	3231.12	2695.29	3118.60	3729.99	2398.86	3003.69	3119.54	2416.99	1705.48	3104.34	2305.39	2742.52	3437.86	2205.88	2384.04	4698.51
Ft_Lss11	2662.12	2921.32	3354.37	2851.62	2715.61	3973.39	3060.09	2998.16	3099.29	2691.06	3293.25	3896.40	2334.31	2982.36	3042.80	2405.31	1806.11	3150.68	2319.55	2706.75	3477.96	2236.26	2539.81	4960.08
Ft_Lss12	2492.00	2776.06	3228.60	2727.70	2655.34	3736.21	2812.39	2838.85	2839.62	2564.13	3312.35	3670.40	2093.54	2827.92	2828.27	2300.69	1823.18	3037.91	2169.80	2532.46	3320.63	2124.13	2569.40	4838.57
Ft_Lss13	2465.91	2786.98	3191.75	2692.33	2679.83	3667.56	2841.92	2814.70	2782.63	2532.50	3362.45	3613.40	2059.15	2814.03	2805.41	2277.02	1866.02	2952.64	2137.74	2519.31	3321.16	2117.09	2613.25	4817.82
Ft_Lss14	2366.07	2690.82	3107.07	2594.44	2633.52	3464.99	2710.54	2693.68	2638.62	2445.99	3321.60	3400.27	1934.03	2727.43	2704.84	2209.78	1887.38	2812.90	2049.27	2398.10	3223.81	2039.30	2604.91	4648.74
Ft_Lss15	2345.38	2708.30	3076.48	2565.15	2640.64	3376.84	2747.14	2685.51	2629.02	2430.54	3325.33	3316.81	1908.46	2729.23	2726.47	2172.35	1932.10	2704.81	2038.37	2393.82	3216.81	2031.62	2597.03	4540.80
Fo_Lss1	2686.12	3171.76	3428.13	2837.92	2779.61	2593.76	2716.07	3023.00	3265.86	2916.28	3240.66	2846.69	2416.41	3397.59	3175.71	2673.83	2272.96	2088.69	2273.24	2707.77	3426.88	2194.59	2360.87	2835.90
Fo_Lss2	2642.46	3088.74	3358.44	2757.61	2612.70	2574.05	2692.85	2953.36	3212.49	2843.04	3003.47	2832.27	2390.06	3361.68	3129.94	2610.33	2070.57	2067.73	2236.94	2664.39	3372.59	2125.96	2174.58	2790.83
Fo_Lss3	2603.07	3036.05	3322.55	2709.17	2509.31	2523.06	2644.77	2859.39	3176.70	2774.47	2785.75	2752.31	2356.46	3326.11	3092.24	2539.06	1877.10	2027.12	2201.22	2619.48	3317.81	2089.42	2005.62	2707.81
Fo_Lss4	2576.76	2980.33	3275.13	2679.78	2443.99	2512.17	2598.93	2794.37	3134.35	2733.88	2643.61	2704.19	2331.53	3274.46	3023.67	2472.20	1730.86	2009.17	2148.13	2564.90	3218.56	2067.65	1914.11	2698.48
Fo_Lss5	2509.72	2864.31	3171.28	2627.90	2360.75	2510.11	2530.96	2722.66	3068.00	2682.90	2554.76	2676.61	2284.94	3141.85	2916.54	2401.89	1624.12	1992.19	2075.00	2472.79	3085.29	2030.36	1866.73	2743.86
Fo_Lss6	2429.71	2742.71	3038.80	2542.23	2285.62	2503.14	2459.06	2646.25	3013.90	2602.85	2479.55	2645.79	2249.75	2954.00	2821.37	2313.21	1542.11	1972.97	1996.92	2381.63	2950.22	1983.46	1814.12	2732.71
Fo_Lss7	2312.02	2589.72	2868.82	2418.16	2167.84	2432.31	2347.61	2531.80	2891.08	2449.72	2391.28	2556.93	2157.20	2741.45	2693.00	2196.21	1462.12	1931.63	1896.03	2270.80	2786.21	1887.24	1758.94	2696.69
Fo_Lss8	2199.10	2452.72	2733.37	2311.58	2089.12	2401.07	2250.54	2428.72	2747.24	2323.94	2354.09	2504.41	2058.81	2571.66	2558.98	2090.05	1416.34	1898.83	1815.54	2167.44	2665.33	1807.84	1739.44	2674.90
Fo_Lss9	2081.25	2320.73	2580.53	2186.48	2001.20	2329.35	2138.60	2317.95	2588.15	2194.57	2297.69	2422.07	1939.15	2416.59	2431.36	1977.99	1380.50	1840.52	1723.46	2047.89	2545.77	1722.85	1698.34	2637.18
Fo_Lss10	1927.93	2136.64	2426.55	2046.58	1891.27	2205.81	1971.17	2174.02	2344.89	2040.89	2228.92	2275.98	1748.35	2246.46	2259.44	1847.20	1334.71	1763.20	1611.64	1895.05	2394.35	1601.03	1652.41	2556.75
Fo_Lss11	1871.65	2107.49	2362.99	1993.98	1870.17	2190.12	1948.34	2131.72	2268.75	1978.34	2237.78	2263.59	1697.10	2180.58	2190.12	1797.29	1329.45	1752.24	1569.38	1856.89	2347.42	1574.14	1656.26	2559.59
Fo_Lss12	1747.96	1958.56	2202.49	1841.01	1788.43	2040.37	1829.38	2013.35	2140.97	1839.59	2102.14	2053.28	1566.68	2060.51	2104.95	1668.29	1258.39	1626.84	1471.39	1760.10	2219.94	1462.24	1550.35	2392.02
Fo_Lss13	1739.44	1997.30	2230.63	1870.59	1817.45	2102.44	1851.61	2005.01	2084.02	1846.08	2212.30	2164.44	1545.52	2051.93	2057.81	1675.17	1317.58	1676.34	1459.73	1744.20	2231.60	1482.01	1641.52	2499.03
Fo_Lss14	1667.53	1932.21	2153.22	1794.94	1770.78	2011.57	1791.05	1943.03	2008.46	1774.61	2165.31	2067.74	1461.77	1994.53	1997.71	1616.78	1313.93	1611.70	1413.33	1688.10	2173.05	1426.91	1612.17	2437.25
Fo_Lss15	1645.21	1904.28	2123.46	1770.13	1775.06	1997.34	1768.04	1898.21	1953.46	1746.85	2187.40	2050.75	1414.57	1961.97	1951.99	1583.79	1342.51	1593.69	1386.35	1652.30	2147.96	1412.06	1639.90	2427.47
Fv_Lss1	5032.69	5501.62	6037.91	4903.91	3987.87	3086.87	5120.90	5326.09	5608.90	4912.39	4099.19	3367.05	4610.34	6476.27	5785.87	4641.77	2970.53	2493.82	4382.29	5190.38	6893.45	3444.63	2913.77	3522.52
Fv_Lss2	4726.49	4990.78	5594.61	4414.39	3243.87	3012.88	4953.86	4885.26	5278.92	4479.26	3222.70	3313.19	4418.39	6214.84	5476.48	4248.69	2208.09	2415.09	4116.70	4875.64	6470.60	3081.30	2252.69	3345.38
Fv_Lss3	4467.51	4692.60	5379.87	4144.14	2852.11	2829.13	4626.62	4350.37	5069.14	4109.63	2572.35	3028.70	4186.28	5967.30	5234.99	3848.82	1650.29	2269.10	3872.47	4571.69	6072.85	2903.96	1773.50	3040.89
Fv_Lss4	4303.00	4397.19	5109.38	3988.53	2627.80	2791.25	4336.15	4015.82	4832.10	3905.65	2212.31	2868.55	4022.54	5626.68	4824.31	3508.73	1313.21	2207.21	3537.85	4229.38	5418.28	2803.16	1552.69	3008.32
Fv_Lss5	3912.01	3840.92	4564.68	3728.17	2365.23	2784.14	3940.34	3676.78	4483.33	3663.71	2009.57	2780.27	3734.64	4843.11	4248.33	3183.50	1104.57	2150.09	3125.78	3711.30	4654.39	2638.47	1447.71	3169.79
Fv_Lss6	3493.01	3332.01	3953.53	3334.81	2148.58	2760.17	3562.11	3346.48	4217.95	3313.35	1850.16	2684.48	3531.61	3919.98	3795.22	2815.03	962.77	2087.06	2739.66	3262.18	3992.15	2444.57	1338.02	3129.38
Fv_Lss7	2956.91	2782.13	3284.58	2835.70	1843.53	2527.32	3046.52	2904.38	3671.78	2730.47	1676.24	2424.59	3050.02	3081.91	3258.29	2390.34	838.33	1957.14	2309.74	2787.94	3311.49	2088.30	1230.25	3002.12
Fv_Lss8	2517.84	2361.38	2828.84	2463.91	1660.79	2430.37	2657.23	2553.46	3118.45	2324.26	1606.99	2281.55	2609.85	2535.46	2774.99	2056.63	772.79	1859.26	2013.67	2405.50	2881.80	1831.05	1193.87	2927.47
Fv_Lss9	2124.85	2009.93	2383.38	2084.21	1474.62	2220.25	2266.35	2219.42	2597.03	1963.37	1506.28	2071.95	2156.41	2113.25	2376.56	1749.68	724.17	1695.83	1717.94	2023.57	2507.45	1587.35	1119.96	2802.23
Fv_Lss10	1695.77	1594.18	1997.35	1721.07	1265.82	1895.17	1777.90	1842.80	1948.06	1597.92	1390.19	1739.77	1580.06	1720.27	1919.67	1441.64	665.35	1498.35	1410.99	1613.79	2095.28	1286.97	1041.62	2551.25
Fv_Lss11	1558.21	1535.35	1854.11	1599.16	1228.55	1856.96	1718.97	1743.03	1775.69	1466.28	1404.75	1713.76	1450.36	1585.25	1757.87	1336.59	658.82	1472.00	1307.94	1523.32	1980.00	1227.52	1048.02	2559.75
Fv_Lss12	1288.19	1261.09	1529.30	1284.20	1092.15	1523.38	1438.02	1487.31	1514.54	1205.17	1194.17	1317.42	1159.84	1361.01	1574.65	1093.26	575.05	1196.90	1092.85	1312.53	1693.21	1003.57	882.57	2098.17
Fv_Lss13	1271.08	1328.39	1582.67	1340.84	1139.18	1655.06	1487.38	1470.50	1408.54	1216.51	1363.19	1516.61	1117.54	1345.99	1480.12	1105.29	644.26	1299.94	1069.31	1280.29	1717.94	1040.54	1023.68	2383.65
Fv_Lss14	1133.91	1216.85	1439.28	1199.80	1064.28	1465.24	1356.06	1350.39	1276.95	1096.17	1289.02	1342.11	962.01	1248.83	1366.22	1006.42	639.83	1166.73	979.60	1171.61	1596.73	940.08	976.53	2215.02
Fv_Lss15	1093.81	1171.26	1386.95	1156.17	1071.00	1437.18	1308.70	1268.48	1187.30	1051.98	1323.50	1313.14	882.14	1196.16	1284.31	953.66	675.12	1131.65	930.23	1106.15	1546.94	914.34	1021.04	2189.30
Fq_Lss1	4548.62	4846.33	5214.44	3998.79	3069.38	1584.53	4610.31	4796.11	4975.60	4297.66	3127.72	1247.88	4247.29	5949.74	5260.11	4105.20	2365.94	1489.61	3987.08	4604.41	6243.88	2654.10	1799.95	1943.00
Fq_Lss2	3929.43	4000.60	4312.69	3066.63	1982.01	577.80	4137.86	4098.73	4373.93	3648.13	1990.30	459.35	3877.81	5420.37	4625.69	3423.37	1403.52	547.14	3426.02	3928.32	5320.83	1991.28	905.81	797.68
Fq_Lss3	3537.55	3557.13	3932.56	2741.94	1629.09	201.73	3574.89	3447.10	4084.93	3154.48	1284.87	122.02	3562.27	4913.42	4260.13	2931.67	877.36	216.87	3008.71	3467.37	4649.54	1820.48	467.56	171.41
Fq_Lss4	3238.10	3171.36	3570.54	2577.66	1475.09	132.99	3045.60	3013.43	3766.98	2901.90	978.23	71.35	3304.76	4352.36	3752.70	2602.12	625.09	129.31	2556.00	3042.71	3908.41	1748.32	366.98	55.60
Fq_Lss5	2747.82	2600.05	3051.42	2389.95	1271.18	190.79	2447.64	2539.08	3250.90	2640.28	903.00	160.02	2826.89	3504.97	3046.11	2306.42	529.13	115.55	2075.82	2462.13	3170.26	1595.58	433.55	422.35
Fq_Lss6	2444.15	2301.21	2666.31	2204.10	1200.33	456.93	2201.96	2280.44	3049.03	2398.92	889.34	456.69	2683.29	2800.06	2699.99	2054.89	514.32	264.68	1790.75	2144.39	2683.06	1557.33	468.70	597.39
Fq_Lss7	1896.51	1751.05	1951.88	1623.66	859.27	68.71	1664.89	1816.62	2551.29	1763.91	530.78	71.40	2150.75	2014.34	2238.78	1588.76	317.04	49.40	1359.06	1675.78	1953.42	1159.39	235.21	81.36
Fq_Lss8	1574.25	1459.32	1654.60	1403.99	756.63	200.29	1414.15	1572.80	2142.41	1478.64	509.92	191.25	1834.45	1621.06	1850.70	1332.67	283.26	116.30	1143.56	1435.51	1638.98	1009.70	250.58	169.96
Fq_Lss9	1197.03	1077.42	1226.74	1033.72	537.57	15.60	992.04	1228.23	1633.77	1139.94	344.37	12.78	1366.18	1215.20	1460.30	1041.05	225.17	-30.91	879.71	1043.08	1258.98	785.24	146.45	70.85
Fq_Lss10	918.67	845.15	1083.76	956.22	468.74	165.25	733.97	1006.55	1061.83	943.53	500.51	285.77	929.55	963.03	1059.57	871.86	294.58	157.21	717.25	766.32	1051.77	682.12	309.99	409.49
Fq_Lss11	767.75	721.52	862.73	741.52	383.11	73.70	607.22	876.59	945.16	753.55	349.28	80.95	813.15	783.47	905.19	728.57	182.16	73.56	557.78	673.45	849.46	565.40	164.47	159.26
Fq_Lss12	544.16	443.58	503.19	397.51	225.24	-172.47	455.01	661.82	815.89	480.64	-16.04	-299.70	632.98	593.60	851.33	460.87	10.25	-214.16	394.45	540.17	592.52	341.68	-136.49	-348.38
Fq_Lss13	544.60	538.72	621.55	519.10	276.80	89.94	497.06	660.81	709.93	530.09	213.03	67.65	603.90	583.89	732.51	503.44	95.82	23.64	391.30	505.18	628.39	405.46	51.96	64.87
Fq_Lss14	435.37	458.24	485.42	400.30	201.54	11.81	436.57	599.73	646.79	424.78	132.73	9.58	489.75	515.93	659.09	413.42	66.39	-34.47	343.66	461.62	545.97	327.70	-16.21	3.53
Fq_Lss15	393.64	367.24	433.93	361.14	205.42	57.69	329.59	481.18	511.74	368.30	185.57	47.08	388.25	428.91	509.83	365.10	85.52	20.54	278.22	364.63	478.08	294.79	63.90	75.98
QY_max	0.66	0.64	0.64	0.64	0.61	0.54	0.66	0.64	0.64	0.63	0.58	0.54	0.66	0.66	0.65	0.64	0.60	0.54	0.66	0.66	0.67	0.63	0.59	0.55
Fv/Fm_Lss1	0.65	0.63	0.64	0.63	0.59	0.54	0.65	0.64	0.63	0.63	0.56	0.54	0.66	0.66	0.65	0.63	0.57	0.54	0.66	0.66	0.67	0.61	0.55	0.55
Fv/Fm_Lss2	0.64	0.62	0.62	0.62	0.55	0.54	0.65	0.62	0.62	0.61	0.52	0.54	0.65	0.65	0.64	0.62	0.52	0.54	0.65	0.65	0.66	0.59	0.51	0.55
Fv/Fm_Lss3	0.63	0.61	0.62	0.60	0.53	0.53	0.64	0.60	0.61	0.60	0.48	0.52	0.64	0.64	0.63	0.60	0.47	0.53	0.64	0.64	0.65	0.58	0.47	0.53
Fv/Fm_Lss4	0.63	0.60	0.61	0.60	0.52	0.53	0.63	0.59	0.61	0.59	0.46	0.51	0.63	0.63	0.61	0.59	0.43	0.52	0.62	0.62	0.63	0.58	0.45	0.53
Fv/Fm_Lss5	0.61	0.57	0.59	0.59	0.50	0.53	0.61	0.57	0.59	0.58	0.44	0.51	0.62	0.61	0.59	0.57	0.40	0.52	0.60	0.60	0.60	0.57	0.44	0.54
Fv/Fm_Lss6	0.59	0.55	0.57	0.57	0.48	0.52	0.59	0.56	0.58	0.56	0.43	0.50	0.61	0.57	0.57	0.55	0.38	0.51	0.58	0.58	0.58	0.55	0.42	0.53
Fv/Fm_Lss7	0.56	0.52	0.53	0.54	0.46	0.51	0.56	0.53	0.56	0.53	0.41	0.49	0.59	0.53	0.55	0.52	0.36	0.50	0.55	0.55	0.54	0.53	0.41	0.53
Fv/Fm_Lss8	0.53	0.49	0.51	0.52	0.44	0.50	0.54	0.51	0.53	0.50	0.41	0.48	0.56	0.50	0.52	0.50	0.35	0.49	0.53	0.53	0.52	0.50	0.41	0.52
Fv/Fm_Lss9	0.51	0.46	0.48	0.49	0.42	0.49	0.51	0.49	0.50	0.47	0.40	0.46	0.53	0.47	0.49	0.47	0.34	0.48	0.50	0.50	0.50	0.48	0.40	0.52
Fv/Fm_Lss10	0.47	0.43	0.45	0.46	0.40	0.46	0.47	0.46	0.45	0.44	0.38	0.43	0.47	0.43	0.46	0.44	0.33	0.46	0.47	0.46	0.47	0.45	0.39	0.50
Fv/Fm_Lss11	0.45	0.42	0.44	0.45	0.40	0.46	0.47	0.45	0.44	0.43	0.39	0.43	0.46	0.42	0.45	0.43	0.33	0.46	0.45	0.45	0.46	0.44	0.39	0.50
Fv/Fm_Lss12	0.42	0.39	0.41	0.41	0.38	0.43	0.44	0.42	0.41	0.40	0.36	0.39	0.43	0.40	0.43	0.40	0.31	0.42	0.43	0.43	0.43	0.41	0.36	0.47
Fv/Fm_Lss13	0.42	0.40	0.42	0.42	0.39	0.44	0.45	0.42	0.40	0.40	0.38	0.41	0.42	0.40	0.42	0.40	0.33	0.44	0.42	0.42	0.43	0.41	0.38	0.49
Fv/Fm_Lss14	0.40	0.39	0.40	0.40	0.38	0.42	0.43	0.41	0.39	0.38	0.37	0.39	0.40	0.39	0.41	0.38	0.33	0.42	0.41	0.41	0.42	0.40	0.38	0.48
