FluorCam7 Numeric Avg Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18	Area 19	Area 20	Area 21	Area 22	Area 23	Area 24
Size [pixels]	3001	2913	1578	3283	2288	157	1537	2395	3495	2821	2812	898	2427	2120	2823	2474	5269	1574	5440	2902	3677	2942	3208	854
Fo	3252.73	3744.62	3432.83	3753.09	3843.72	2382.24	1827.79	3133.74	3147.34	3121.37	3457.87	2992.57	2834.17	2589.13	3442.94	3847.85	4661.08	4022.19	3164.22	2764.83	3426.91	2947.96	3541.45	2798.90
Fm	8641.16	9854.30	9567.61	8266.64	6385.84	3129.54	4864.22	8598.25	8019.57	7678.90	6256.69	4015.39	7683.36	7146.85	9329.38	9004.50	8950.10	5451.50	9041.76	8044.52	9747.69	7743.57	6470.03	4391.20
Fv	5388.43	6109.68	6134.78	4513.55	2542.11	747.30	3036.43	5464.50	4872.23	4557.54	2798.83	1022.82	4849.19	4557.72	5886.44	5156.65	4289.02	1429.31	5877.54	5279.69	6320.78	4795.61	2928.58	1592.30
Fm_Lss1	8040.46	9298.95	8346.89	7484.15	6084.31	2826.39	4304.77	8005.57	7375.17	6848.66	5850.33	3545.65	7351.34	6518.63	8724.16	8049.76	8604.35	5190.66	8551.35	7430.60	9199.17	7146.09	6047.32	3674.94
Ft_Lss1	3599.03	4031.11	4003.43	4128.59	4533.31	2754.16	2135.28	3525.52	3682.78	3734.56	4162.10	3450.26	3179.00	2965.96	3791.50	4293.08	5490.65	4460.44	3493.21	3135.78	3766.97	3338.63	4339.58	3418.05
Fo_Lss1	3163.76	3661.53	3261.68	3583.01	3732.39	2202.42	1742.69	3051.41	3042.99	2974.78	3330.03	2723.65	2787.73	2501.78	3357.00	3662.23	4565.54	3878.39	3101.97	2688.49	3356.55	2857.02	3410.95	2489.62
Fv_Lss1	4876.71	5637.42	5085.21	3901.14	2351.92	623.97	2562.08	4954.16	4332.18	3873.88	2520.30	822.00	4563.62	4016.85	5367.16	4387.52	4038.82	1312.27	5449.38	4742.12	5842.63	4289.07	2636.37	1185.32
Fq_Lss1	4441.44	5267.84	4343.46	3355.56	1550.99	72.23	2169.50	4480.05	3692.39	3114.11	1688.22	95.39	4172.35	3552.68	4932.65	3756.68	3113.71	730.22	5058.14	4294.83	5432.20	3807.47	1707.74	256.89
QY_max	0.62	0.62	0.64	0.55	0.40	0.24	0.62	0.64	0.61	0.59	0.45	0.25	0.63	0.64	0.63	0.57	0.48	0.26	0.65	0.66	0.65	0.62	0.45	0.36
Fv/Fm_Lss1	0.61	0.61	0.61	0.52	0.39	0.22	0.60	0.62	0.59	0.57	0.43	0.23	0.62	0.62	0.62	0.55	0.47	0.25	0.64	0.64	0.64	0.60	0.44	0.32
QY_Lss1	0.55	0.57	0.52	0.45	0.25	0.03	0.50	0.56	0.50	0.45	0.29	0.03	0.57	0.55	0.57	0.47	0.36	0.14	0.59	0.58	0.59	0.53	0.28	0.07
NPQ_Lss1	0.07	0.06	0.15	0.10	0.05	0.11	0.13	0.07	0.09	0.12	0.07	0.13	0.05	0.10	0.07	0.12	0.04	0.05	0.06	0.08	0.06	0.08	0.07	0.19
qN_Lss1	0.11	0.09	0.19	0.17	0.11	0.33	0.18	0.11	0.13	0.18	0.14	0.36	0.07	0.14	0.10	0.18	0.08	0.17	0.08	0.11	0.09	0.12	0.14	0.38
qP_Lss1	0.91	0.93	0.85	0.86	0.66	0.12	0.85	0.90	0.85	0.80	0.67	0.12	0.91	0.88	0.92	0.86	0.77	0.56	0.93	0.91	0.93	0.89	0.65	0.22
qL_Lss1	1.04	1.03	1.05	0.99	0.80	0.14	1.04	1.04	1.03	1.01	0.84	0.15	1.04	1.05	1.04	1.00	0.93	0.64	1.05	1.06	1.04	1.04	0.82	0.30
PAR1	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90
ETR1	2.4091	2.4706	2.2694	1.9554	1.1117	0.1115	2.1979	2.4406	2.1834	1.9831	1.2585	0.1173	2.4753	2.3769	2.4658	2.0353	1.5782	0.6135	2.5797	2.5207	2.5753	2.3237	1.2316	0.3049
