FluorCam7 Numeric Avg Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18	Area 19	Area 20	Area 21	Area 22	Area 23	Area 24
Size [pixels]	5018	4812	3813	4739	2429	4367	3935	4044	4317	1549	2894	829	3064	3180	7226	6595	5849	3661	5275	5181	4847	4545	5748	1795
Fo	3051.22	2209.31	3489.86	2575.84	2867.96	3780.88	3380.55	2691.57	2774.77	2934.66	2945.56	2336.11	2842.90	3382.77	3142.90	3364.00	3717.70	4380.18	2623.59	2939.23	2966.28	3626.27	4433.71	2398.25
Fm	7449.81	4746.92	8348.26	5719.50	4780.17	5409.06	7490.64	5892.40	6058.27	5846.05	3811.58	2496.38	6890.48	7846.30	7195.25	7478.24	6367.43	5212.46	6136.90	7238.26	7126.27	7659.14	7877.36	3077.22
Fv	4398.59	2537.61	4858.40	3143.66	1912.21	1628.18	4110.09	3200.83	3283.50	2911.39	866.02	160.27	4047.58	4463.53	4052.34	4114.24	2649.72	832.28	3513.31	4299.03	4160.00	4032.87	3443.65	678.97
Fm_Lss1	7380.90	4616.37	8188.64	5524.23	4724.49	5397.34	7447.89	5774.90	5952.75	5722.90	3764.76	2443.74	6777.66	7720.43	6979.02	7220.85	6329.63	5212.11	6024.37	7132.86	7006.56	7381.72	7855.56	3062.12
Ft_Lss1	3197.82	2380.38	3656.34	2726.90	3170.78	3988.03	3515.21	2773.30	2865.70	3051.93	3103.27	2339.34	3017.57	3566.71	3395.26	3661.51	4182.38	4499.81	2774.53	3112.03	3113.39	3771.09	4928.97	2454.39
Fo_Lss1	3039.60	2180.61	3461.65	2535.48	2847.83	3775.15	3371.82	2666.79	2752.42	2903.30	2917.52	2289.95	2823.51	3359.16	3100.94	3310.91	3704.79	4379.93	2602.81	2921.70	2945.33	3562.88	4426.79	2389.06
Fv_Lss1	4341.30	2435.76	4726.99	2988.75	1876.67	1622.19	4076.08	3108.11	3200.33	2819.60	847.24	153.79	3954.15	4361.28	3878.08	3909.94	2624.84	832.18	3421.56	4211.17	4061.23	3818.84	3428.77	673.06
Fq_Lss1	4183.08	2235.99	4532.30	2797.33	1553.71	1409.31	3932.68	3001.60	3087.06	2670.97	661.49	104.39	3760.09	4153.73	3583.76	3559.34	2147.25	712.30	3249.84	4020.83	3893.18	3610.63	2926.60	607.73
QY_max	0.59	0.53	0.58	0.55	0.40	0.30	0.55	0.54	0.54	0.50	0.23	0.06	0.59	0.57	0.56	0.55	0.42	0.16	0.57	0.59	0.58	0.53	0.44	0.22
Fv/Fm_Lss1	0.59	0.53	0.58	0.54	0.40	0.30	0.55	0.54	0.54	0.49	0.23	0.06	0.58	0.56	0.56	0.54	0.41	0.16	0.57	0.59	0.58	0.52	0.44	0.22
QY_Lss1	0.57	0.48	0.55	0.51	0.33	0.26	0.53	0.52	0.52	0.47	0.18	0.04	0.55	0.54	0.51	0.49	0.34	0.14	0.54	0.56	0.56	0.49	0.37	0.20
NPQ_Lss1	0.01	0.03	0.02	0.04	0.01	0.00	0.01	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.03	0.04	0.01	0.00	0.02	0.01	0.02	0.04	0.00	0.00
qN_Lss1	0.02	0.05	0.03	0.06	0.03	0.01	0.01	0.04	0.03	0.04	0.05	0.26	0.03	0.03	0.05	0.06	0.01	0.00	0.03	0.02	0.03	0.07	0.01	0.02
qP_Lss1	0.96	0.92	0.96	0.94	0.83	0.87	0.96	0.97	0.96	0.95	0.78	0.68	0.95	0.95	0.92	0.91	0.82	0.86	0.95	0.95	0.96	0.95	0.85	0.90
qL_Lss1	1.01	1.00	1.01	1.01	0.92	0.92	1.01	1.00	1.00	1.00	0.83	0.69	1.02	1.01	1.01	1.01	0.92	0.88	1.01	1.02	1.01	1.00	0.95	0.93
PAR1	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90
ETR1	2.4717	2.1124	2.4139	2.2084	1.4342	1.1388	2.3028	2.2668	2.2617	2.0354	0.7663	0.1863	2.4195	2.3464	2.2395	2.1497	1.4795	0.5960	2.3526	2.4584	2.4233	2.1332	1.6248	0.8656
