FluorCam7 Numeric Avg Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18	Area 19	Area 20	Area 21	Area 22	Area 23	Area 24
Size [pixels]	3544	4430	4274	4603	4625	2998	3281	4701	3068	3904	3339	1792	3496	5351	4872	4804	6492	5598	5732	5219	3847	3470	4388	3146
Fo	6863.40	6979.96	7794.57	8298.26	8868.76	8557.98	7335.79	6153.07	6979.32	7282.06	9886.11	7242.16	8114.44	7803.73	8804.25	9423.70	9921.78	9690.46	6908.14	8238.26	8694.66	6355.42	8705.20	9762.51
Fm	14103.96	13610.34	11340.86	12440.90	13057.87	10658.14	12450.32	10823.08	13443.33	12191.80	13646.75	9159.66	11947.21	12934.29	12246.82	12972.51	13987.62	11611.94	14929.12	14233.40	15002.22	11529.42	12193.96	11577.16
Fv	7240.55	6630.38	3546.28	4142.64	4189.11	2100.16	5114.53	4670.01	6464.01	4909.75	3760.64	1917.50	3832.77	5130.56	3442.57	3548.81	4065.85	1921.48	8020.98	5995.15	6307.55	5174.00	3488.76	1814.65
Fm_Lss1	14044.94	13668.93	11702.29	13035.22	13058.39	10685.80	12634.96	10866.99	13516.72	12591.04	13708.22	9188.43	11916.33	12999.84	12605.99	13741.08	14065.58	11556.49	14786.21	14196.07	15021.33	11218.19	12078.61	11512.35
Ft_Lss1	7377.77	7479.02	8424.17	9070.03	10174.37	9000.07	7864.65	6557.27	7398.56	7986.66	11348.96	7619.96	8587.00	8390.80	9293.26	10054.12	11136.18	9955.82	7269.72	8675.57	9111.03	6668.91	9542.32	9868.01
Fo_Lss1	6849.40	6995.33	7963.62	8558.54	8869.00	8575.80	7399.50	6167.24	6999.05	7422.63	9918.33	7260.13	8100.18	7827.55	8988.35	9822.81	9960.94	9651.82	6877.38	8225.74	8701.08	6259.69	8646.26	9716.38
Fv_Lss1	7195.54	6673.59	3738.67	4476.68	4189.39	2110.00	5235.46	4699.75	6517.67	5168.41	3789.89	1928.30	3816.14	5172.29	3617.64	3918.27	4104.64	1904.67	7908.83	5970.33	6320.25	4958.50	3432.36	1795.97
Fq_Lss1	6667.17	6189.91	3278.12	3965.19	2884.01	1685.73	4770.32	4309.71	6118.16	4604.38	2359.26	1568.46	3329.33	4609.04	3312.73	3686.96	2929.39	1600.67	7516.49	5520.50	5910.30	4549.29	2536.29	1644.34
QY_max	0.51	0.49	0.31	0.33	0.32	0.20	0.41	0.43	0.48	0.40	0.28	0.21	0.32	0.40	0.28	0.27	0.29	0.17	0.54	0.42	0.42	0.45	0.29	0.16
Fv/Fm_Lss1	0.51	0.49	0.32	0.34	0.32	0.20	0.41	0.43	0.48	0.41	0.28	0.21	0.32	0.40	0.29	0.29	0.29	0.16	0.53	0.42	0.42	0.44	0.28	0.16
QY_Lss1	0.47	0.45	0.28	0.30	0.22	0.16	0.38	0.40	0.45	0.37	0.17	0.17	0.28	0.35	0.26	0.27	0.21	0.14	0.51	0.39	0.39	0.41	0.21	0.14
NPQ_Lss1	0.00	-0.00	-0.03	-0.05	-0.00	-0.00	-0.01	-0.00	-0.01	-0.03	-0.00	-0.00	0.00	-0.01	-0.03	-0.06	-0.01	0.00	0.01	0.00	-0.00	0.03	0.01	0.01
qN_Lss1	0.01	-0.01	-0.11	-0.15	-0.00	-0.01	-0.04	-0.01	-0.01	-0.08	-0.02	-0.02	0.01	-0.01	-0.11	-0.24	-0.02	0.03	0.02	0.01	-0.00	0.06	0.03	0.03
qP_Lss1	0.93	0.93	0.88	0.89	0.69	0.80	0.91	0.92	0.94	0.89	0.62	0.81	0.87	0.89	0.92	0.94	0.71	0.84	0.95	0.92	0.94	0.92	0.74	0.92
qL_Lss1	1.00	0.99	0.93	0.94	0.79	0.84	0.97	0.98	0.99	0.96	0.71	0.85	0.92	0.96	0.95	0.96	0.80	0.87	1.00	0.98	0.98	0.98	0.82	0.93
PAR1	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90
ETR1	2.0703	1.9749	1.2217	1.3266	0.9632	0.6880	1.6466	1.7296	1.9740	1.5948	0.7506	0.7445	1.2185	1.5462	1.1461	1.1702	0.9083	0.6041	2.2170	1.6960	1.7160	1.7686	0.9158	0.6229
