FluorCam7 Numeric Avg Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18	Area 19	Area 20	Area 21	Area 22	Area 23	Area 24
Size [pixels]	3171	2282	3616	2164	3100	2525	3433	1950	3684	4098	3471	2954	3602	3194	3994	3626	2167	2320	3166	2501	3386	4199	2858	1426
Fo	1939.06	1848.06	2155.86	2129.84	1787.68	1973.63	2177.32	1718.61	2204.64	2453.75	2228.24	1715.82	2061.53	2338.06	2509.24	1965.71	1977.40	1868.47	1767.76	2046.17	2299.00	2236.86	2036.84	1689.71
Fm	6197.82	5688.22	6586.41	6387.24	5122.01	4752.88	7031.84	5551.87	6868.57	7823.55	6878.85	5162.13	7064.15	7721.93	8272.13	6203.17	5723.74	5124.93	5971.32	6872.22	7616.42	6852.51	5951.62	4317.43
Fv	4258.76	3840.16	4430.55	4257.40	3334.33	2779.25	4854.52	3833.26	4663.92	5369.80	4650.62	3446.31	5002.62	5383.87	5762.90	4237.46	3746.34	3256.47	4203.56	4826.05	5317.42	4615.64	3914.78	2627.72
Fm_Lss1	5516.46	5007.89	5782.33	5253.04	4246.52	3978.93	6137.17	4565.61	5610.92	6555.93	5446.48	3982.76	6278.78	6415.53	7238.98	5192.39	4394.56	3830.43	5044.46	5856.39	6487.41	5886.76	4814.06	3629.24
Fm_Lss2	5573.36	4991.82	5795.80	5425.99	3779.72	3942.79	6097.48	4727.20	5667.91	6477.73	5201.93	3388.89	6389.67	6734.23	7254.59	5167.77	4097.24	3380.94	5265.95	5890.26	6527.24	5669.34	4613.71	3315.39
Fm_Lss3	5519.61	4882.20	5659.54	5393.03	3491.35	3854.15	6059.74	4654.46	5545.61	6135.18	4588.45	2937.67	6285.22	6670.10	7055.77	4819.12	3646.77	3200.89	5342.48	5825.43	6489.43	5415.95	4278.82	3220.14
Fm_Lss4	5431.61	4751.34	5556.11	5381.10	3302.51	3806.83	5806.86	4421.89	5253.08	5506.09	4000.22	2699.48	5877.94	6135.89	6469.42	4336.77	3229.88	3226.03	5199.52	5564.59	6169.09	5017.91	3939.85	3226.70
Fm_Lss5	5022.08	4410.75	5171.47	5027.72	2985.26	3587.51	5205.19	3876.97	4616.23	4642.67	3401.73	2379.02	5124.73	5152.58	5459.99	3696.96	2776.63	3095.43	4489.15	4714.60	5344.09	4360.62	3392.63	3180.27
Fm_Lss6	4942.19	4401.12	5045.31	4861.22	2859.05	3618.89	5006.20	3756.99	4525.98	4454.38	3217.08	2377.74	4645.52	4858.71	4954.33	3443.81	2581.69	3203.11	4293.77	4384.23	4952.97	4117.93	3222.52	3154.70
Fm_Lss7	4487.21	3975.60	4606.15	4325.90	2586.33	3589.74	4586.46	3424.82	4024.93	3987.22	2890.47	2270.61	4076.76	4412.00	4454.68	3150.16	2338.86	3273.49	3864.00	3801.02	4248.15	3705.43	2871.91	3201.74
Fm_Lss8	4123.27	3689.95	4255.69	4013.06	2441.56	3525.83	4332.55	3218.48	3788.04	3689.26	2770.30	2307.78	3783.48	4049.91	4127.88	2942.39	2267.91	3304.32	3510.04	3536.54	3883.11	3465.46	2730.10	3217.61
Fm_Lss9	3663.99	3230.92	3734.06	3527.96	2266.46	3399.83	3946.07	2844.90	3361.49	3303.27	2576.46	2239.56	3429.59	3662.55	3683.52	2727.53	2127.04	3279.52	3152.55	3190.90	3468.20	3196.92	2505.63	2897.22
Fm_Lss10	2978.40	2702.75	3122.90	2806.91	1994.30	3016.60	3366.92	2319.20	2759.66	2754.03	2226.43	2039.35	2990.32	2976.38	3122.72	2300.12	1826.29	2970.73	2466.04	2622.17	2914.87	2760.22	2115.51	2739.41
Fm_Lss11	2825.50	2522.48	2923.37	2677.09	1912.10	3032.65	3271.64	2190.86	2648.06	2697.00	2217.16	2116.04	2826.11	2973.62	2964.25	2255.97	1864.36	3067.86	2343.70	2516.84	2759.23	2629.73	2112.14	2710.90
Fm_Lss12	2818.11	2474.15	2917.67	2754.62	1922.71	3181.67	3244.89	2215.00	2738.31	2806.90	2321.25	2294.45	2766.02	3033.31	2979.57	2326.52	1990.78	3224.57	2304.67	2543.39	2752.89	2626.41	2221.17	2735.83
Fm_Lss13	2597.83	2307.03	2691.19	2538.07	1825.17	3097.37	3075.66	2068.50	2547.15	2704.69	2291.00	2315.50	2627.38	2888.23	2806.65	2203.39	1960.91	3182.45	2086.32	2386.93	2616.51	2495.08	2141.88	2671.24
Fm_Lss14	2388.56	2078.14	2500.28	2339.98	1721.16	2905.81	2755.17	1872.36	2346.63	2460.64	2143.07	2296.95	2422.90	2590.96	2607.50	2058.18	1845.19	2982.99	1827.48	2172.14	2379.99	2316.89	1985.73	2450.88
Fm_Lss15	2321.25	2033.95	2484.93	2346.10	1714.97	2967.18	2772.46	1863.97	2363.92	2557.69	2223.47	2451.19	2423.93	2693.81	2626.34	2081.32	1906.13	3037.16	1824.84	2200.87	2401.55	2328.57	2095.66	2491.52
Ft_Lss1	2215.63	2149.23	2586.05	2585.30	2256.70	2935.75	2638.94	1935.98	2618.80	2867.51	2575.32	2220.91	2390.03	2711.84	2877.66	2241.01	2235.58	2219.72	1969.17	2317.23	2604.91	2544.86	2365.11	1874.66
