FluorCam7 Numeric Avg Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18	Area 19	Area 20	Area 21	Area 22	Area 23	Area 24
Size [pixels]	6001	4287	5676	4466	3496	3338	3638	4285	4178	2830	5687	2956	5468	5984	5124	6338	4256	3821	5115	4879	4403	3906	4891	3109
Fo	1893.47	1745.34	1909.74	1778.99	1963.53	1374.78	1812.37	1956.31	2041.69	1631.64	2341.23	2084.32	1820.69	2106.74	2519.83	1770.54	1686.13	1753.01	1846.66	2300.94	2046.06	1869.36	2037.69	1494.53
Fm	6498.43	5943.61	6445.47	5638.19	6051.38	3819.11	6165.79	6881.95	6824.90	5077.19	6951.60	4895.17	6429.64	7415.54	8415.33	5728.39	4790.56	4685.34	6285.86	7699.90	6826.56	6119.24	6417.45	4015.52
Fv	4604.96	4198.27	4535.73	3859.20	4087.85	2444.33	4353.41	4925.64	4783.21	3445.55	4610.37	2810.86	4608.95	5308.81	5895.50	3957.85	3104.43	2932.32	4439.20	5398.96	4780.50	4249.88	4379.77	2520.98
Fm_Lss1	6403.85	5819.42	6266.32	5418.13	5552.90	3728.04	6045.20	6701.66	6552.91	4845.13	6068.82	4180.74	6213.78	7189.06	8151.60	5433.25	4167.69	4792.02	6187.17	7541.33	6671.55	5912.52	6150.07	3518.70
Fm_Lss2	6117.05	5554.54	6016.41	5081.90	4723.81	3473.84	5743.03	6391.75	6174.84	4391.54	4457.16	3823.27	5828.31	6746.71	7749.93	4929.70	3260.58	4679.68	5973.95	7291.57	6433.13	5657.06	5683.77	3052.94
Fm_Lss3	5920.49	5391.62	5739.56	4588.19	3924.70	3417.13	5649.95	6251.37	5988.96	3999.70	3681.01	3965.90	5682.20	6578.36	7281.35	4671.57	2859.12	4616.98	5907.50	7133.28	6292.59	5418.63	5248.74	2844.18
Fm_Lss4	5446.87	4924.51	5159.61	3989.97	3266.31	3335.12	5432.18	5809.51	5682.77	3685.16	3238.09	4115.73	5554.12	6326.84	6626.13	4431.47	2713.09	4562.45	5674.34	6639.31	5918.20	4974.58	4670.33	2833.45
Fm_Lss5	4864.47	4296.29	4461.81	3532.63	2786.31	3286.34	4986.52	5286.09	5256.30	3366.63	3072.36	4224.03	5310.05	5862.70	5959.61	4047.82	2629.92	4416.98	5223.10	5965.01	5447.09	4521.12	4101.95	2828.90
Fm_Lss6	4313.77	3813.64	3869.22	3226.92	2470.65	3209.29	4500.57	4783.89	4873.06	3029.05	2962.31	4223.25	4959.55	5373.44	5333.22	3635.87	2560.61	4238.69	4717.92	5295.98	4900.76	4029.29	3617.56	2807.61
Fm_Lss7	3838.38	3370.43	3423.57	2939.13	2250.90	3084.57	3997.53	4306.16	4437.19	2748.06	2940.47	4112.54	4605.64	4924.92	4710.20	3256.83	2535.69	4055.68	4182.09	4625.95	4451.70	3583.15	3195.73	2818.76
Fm_Lss8	3486.46	3037.45	3071.28	2709.36	2100.35	2995.99	3574.84	3872.17	3944.98	2500.83	2923.44	4032.44	4187.34	4521.93	4223.76	2929.22	2500.22	3851.90	3719.71	4069.70	3946.26	3219.18	2872.51	2746.08
Fm_Lss9	3183.42	2783.77	2778.34	2496.47	1985.63	2855.24	3225.76	3477.33	3533.62	2316.20	2921.65	3842.17	3842.65	4124.71	3844.78	2670.84	2509.11	3649.09	3325.21	3684.10	3539.17	2884.40	2626.13	2744.62
Fm_Lss10	2909.81	2572.86	2560.89	2301.89	1911.40	2709.85	2935.16	3149.15	3239.31	2139.00	2967.53	3632.94	3551.53	3781.14	3538.13	2476.83	2553.56	3470.95	3015.23	3364.02	3179.22	2640.94	2438.76	2659.86
Fm_Lss11	2711.58	2417.48	2387.66	2179.35	1866.79	2601.15	2726.69	2897.37	3001.72	2045.59	3129.16	3467.98	3278.18	3480.65	3307.22	2335.03	2588.98	3243.31	2765.92	3105.70	2860.99	2461.36	2285.92	2589.94
Fm_Lss12	2495.84	2254.31	2266.14	2054.17	1821.93	2472.22	2541.13	2715.98	2796.34	1970.11	3290.65	3332.55	3086.23	3260.62	3145.85	2204.05	2642.46	3069.52	2575.07	2919.20	2640.52	2309.25	2214.65	2540.46
Fm_Lss13	2362.78	2122.54	2121.75	1962.22	1823.67	2359.21	2398.08	2586.45	2649.51	1886.75	3448.47	3120.84	2874.24	3043.24	3033.11	2111.90	2692.73	2920.23	2402.61	2773.30	2477.89	2166.73	2092.74	2458.53
Fm_Lss14	2246.07	2062.54	2032.04	1885.15	1814.87	2263.89	2325.38	2467.78	2534.83	1870.39	3544.86	2996.84	2735.21	2866.62	2885.90	2046.48	2690.47	2769.94	2293.86	2680.10	2344.56	2060.63	2026.37	2370.42
Fm_Lss15	2128.69	1973.29	1961.48	1825.76	1852.63	2197.05	2235.22	2367.91	2416.38	1811.77	3639.71	2853.43	2614.56	2728.94	2813.31	2011.88	2663.80	2615.50	2192.91	2536.97	2236.54	2001.97	2014.16	2301.46
Ft_Lss1	2177.01	2013.58	2197.44	2025.85	2241.56	1718.32	2027.80	2222.99	2299.16	1844.18	2782.82	2381.06	2075.75	2370.02	2862.08	1978.98	2086.41	2460.71	2109.21	2633.37	2339.01	2147.11	2341.81	1819.23
Ft_Lss2	2325.97	2188.76	2334.96	2185.38	2354.36	2551.05	2176.85	2385.83	2481.34	1993.38	2707.95	2939.81	2256.85	2605.96	3262.07	2109.91	2105.23	3614.33	2332.58	2921.25	2543.46	2357.99	2586.10	2160.88
Ft_Lss3	2580.15	2473.29	2553.84	2246.67	2251.93	2868.81	2397.01	2656.26	2664.25	2053.71	2520.75	3361.72	2486.20	2877.56	3554.83	2213.72	2066.54	4034.68	2647.91	3280.45	2803.37	2535.39	2667.02	2307.89
