FluorCam7 Numeric Avg Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18	Area 19	Area 20	Area 21	Area 22	Area 23	Area 24
Size [pixels]	4089	2714	3352	3295	1314	843	3713	3878	3094	3655	3204	1058	5416	3408	4256	3136	3842	1764	3770	3425	3713	4208	3921	948
Fo	1854.17	1564.98	1660.14	1719.14	1949.86	1694.29	1819.40	2078.85	2156.59	1898.55	2095.09	1627.74	2028.50	1941.59	2488.56	2000.47	2597.81	1927.31	1565.33	1906.20	2031.05	2101.55	2220.74	1825.50
Fm	4692.81	3865.26	4072.41	3933.51	3506.14	2153.94	4485.78	4965.16	5001.43	4150.88	3618.63	2096.34	4745.89	4641.65	5533.17	4451.59	4471.77	2825.09	4131.68	4691.26	4932.08	4713.95	3880.75	2388.05
Fv	2838.64	2300.27	2412.27	2214.37	1556.28	459.65	2666.38	2886.31	2844.83	2252.34	1523.54	468.60	2717.40	2700.06	3044.60	2451.12	1873.96	897.77	2566.35	2785.06	2901.02	2612.40	1660.01	562.55
Fm_Lss1	4531.47	3717.85	3857.66	3629.43	3357.42	2159.64	4217.73	4727.08	4650.07	3763.30	3554.86	2088.49	4502.26	4432.57	5192.87	4100.29	4341.58	2809.28	3957.47	4448.89	4635.12	4350.64	3805.28	2364.54
Ft_Lss1	1958.81	1656.78	1740.87	1786.22	2147.14	1751.02	1921.28	2173.51	2205.49	1940.52	2349.65	1695.70	2118.89	2019.03	2564.39	2062.05	2872.61	2085.83	1673.93	2003.47	2122.07	2138.66	2485.52	1923.38
Fo_Lss1	1828.45	1540.26	1623.30	1658.42	1902.98	1697.81	1773.68	2035.92	2088.55	1813.14	2073.56	1623.00	1982.64	1904.02	2417.32	1926.31	2553.33	1919.94	1539.65	1864.92	1978.84	2026.12	2195.82	1811.73
Fv_Lss1	2703.02	2177.59	2234.36	1971.01	1454.44	461.82	2444.05	2691.16	2561.52	1950.17	1481.31	465.48	2519.62	2528.55	2775.55	2173.99	1788.25	889.34	2417.82	2583.97	2656.28	2324.52	1609.46	552.81
Fq_Lss1	2572.66	2061.08	2116.79	1843.21	1210.29	408.61	2296.45	2553.57	2444.58	1822.78	1205.21	392.78	2383.37	2413.54	2628.48	2038.25	1468.97	723.45	2283.54	2445.42	2513.05	2211.98	1319.76	441.16
QY_max	0.60	0.60	0.59	0.56	0.44	0.21	0.59	0.58	0.57	0.54	0.42	0.22	0.57	0.58	0.55	0.55	0.42	0.32	0.62	0.59	0.59	0.55	0.43	0.24
Fv/Fm_Lss1	0.60	0.59	0.58	0.54	0.43	0.21	0.58	0.57	0.55	0.52	0.42	0.22	0.56	0.57	0.53	0.53	0.41	0.32	0.61	0.58	0.57	0.53	0.42	0.23
QY_Lss1	0.57	0.55	0.55	0.51	0.36	0.19	0.54	0.54	0.53	0.48	0.34	0.19	0.53	0.54	0.51	0.50	0.34	0.26	0.58	0.55	0.54	0.51	0.35	0.19
NPQ_Lss1	0.04	0.04	0.06	0.08	0.04	-0.00	0.06	0.05	0.08	0.10	0.02	0.00	0.05	0.05	0.07	0.09	0.03	0.01	0.04	0.05	0.06	0.08	0.02	0.01
qN_Lss1	0.06	0.06	0.09	0.13	0.09	-0.01	0.10	0.08	0.12	0.17	0.04	0.02	0.09	0.08	0.11	0.14	0.07	0.02	0.07	0.09	0.10	0.14	0.04	0.04
qP_Lss1	0.95	0.95	0.95	0.94	0.83	0.88	0.94	0.95	0.95	0.93	0.81	0.84	0.95	0.95	0.95	0.94	0.82	0.81	0.94	0.95	0.95	0.95	0.82	0.80
qL_Lss1	1.02	1.02	1.02	1.01	0.94	0.91	1.02	1.01	1.01	1.00	0.92	0.88	1.01	1.01	1.00	1.00	0.92	0.88	1.03	1.02	1.01	1.00	0.93	0.85
PAR1	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90
ETR1	2.4760	2.4177	2.3931	2.2148	1.5721	0.8252	2.3746	2.3559	2.2927	2.1124	1.4786	0.8202	2.3087	2.3747	2.2075	2.1679	1.4756	1.1231	2.5165	2.3972	2.3645	2.2174	1.5126	0.8137
