FluorCam7 Numeric Avg Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18	Area 19	Area 20	Area 21	Area 22	Area 23	Area 24
Size [pixels]	4275	5225	5418	5080	4460	4274	4937	3541	4438	4725	4546	2578	2654	5112	3884	3808	1351	1556	4195	4542	4500	3798	4474	3319
Fo	1904.71	1620.98	1919.92	1920.85	1988.72	1722.93	2160.63	1832.69	2055.95	1883.22	2204.00	2170.85	1220.50	1817.32	1667.15	1846.56	1850.47	1808.51	1507.76	1982.54	1829.31	1616.80	1979.40	2207.33
Fm	4839.67	4125.28	4847.36	3742.32	3567.54	2627.06	5494.57	4689.62	5299.44	3799.46	3871.61	2898.81	3136.26	4512.45	3950.88	3850.88	3040.56	2437.35	4119.22	5125.15	4561.57	3530.14	3739.27	3013.48
Fv	2934.96	2504.30	2927.45	1821.47	1578.82	904.14	3333.94	2856.93	3243.49	1916.24	1667.61	727.96	1915.76	2695.13	2283.72	2004.33	1190.08	628.84	2611.46	3142.61	2732.25	1913.33	1759.87	806.15
Fm_Lss1	4786.61	4046.61	4704.69	3547.57	3562.96	2636.18	5471.88	4637.11	5221.71	3619.33	3848.56	2893.78	3001.78	4243.35	3753.38	3658.83	3017.06	2443.60	4101.92	5131.81	4528.72	3389.43	3730.65	3003.51
Ft_Lss1	2009.29	1729.54	2047.46	2027.45	2226.89	1923.11	2271.30	1939.79	2149.69	1994.35	2464.40	2303.72	1292.17	1913.50	1742.87	1966.01	2091.19	1913.51	1602.42	2098.66	1945.93	1728.46	2263.24	2337.96
Fo_Lss1	1896.44	1608.69	1897.13	1868.21	1987.29	1726.84	2157.11	1824.62	2044.14	1837.88	2196.52	2168.03	1199.58	1772.06	1630.94	1801.22	1841.74	1811.95	1505.43	1983.54	1824.01	1586.64	1976.98	2201.97
Fv_Lss1	2890.17	2437.92	2807.56	1679.36	1575.66	909.34	3314.77	2812.49	3177.56	1781.44	1652.05	725.75	1802.20	2471.29	2122.44	1857.61	1175.32	631.65	2596.48	3148.27	2704.71	1802.79	1753.66	801.53
Fq_Lss1	2777.32	2317.07	2657.24	1520.12	1336.07	713.07	3200.58	2697.32	3072.02	1624.98	1384.17	590.06	1709.61	2329.85	2010.52	1692.82	925.86	530.09	2499.50	3033.15	2582.79	1660.96	1467.41	665.55
QY_max	0.61	0.61	0.60	0.49	0.44	0.34	0.61	0.61	0.61	0.50	0.43	0.25	0.61	0.60	0.58	0.52	0.39	0.26	0.63	0.61	0.60	0.54	0.47	0.27
Fv/Fm_Lss1	0.60	0.60	0.60	0.47	0.44	0.34	0.61	0.61	0.61	0.49	0.43	0.25	0.60	0.58	0.57	0.51	0.39	0.26	0.63	0.61	0.60	0.53	0.47	0.27
QY_Lss1	0.58	0.57	0.56	0.43	0.37	0.27	0.58	0.58	0.59	0.45	0.36	0.20	0.57	0.55	0.54	0.46	0.31	0.22	0.61	0.59	0.57	0.49	0.39	0.22
NPQ_Lss1	0.01	0.02	0.03	0.05	0.00	-0.00	0.00	0.01	0.01	0.05	0.01	0.00	0.04	0.06	0.05	0.05	0.01	-0.00	0.00	-0.00	0.01	0.04	0.00	0.00
qN_Lss1	0.02	0.03	0.05	0.10	0.00	-0.01	0.01	0.02	0.02	0.09	0.01	0.01	0.07	0.10	0.09	0.09	0.02	-0.01	0.01	-0.00	0.01	0.07	0.00	0.01
qP_Lss1	0.96	0.95	0.95	0.91	0.85	0.78	0.97	0.96	0.97	0.91	0.84	0.81	0.95	0.94	0.95	0.91	0.79	0.84	0.96	0.96	0.95	0.92	0.84	0.83
qL_Lss1	1.02	1.02	1.02	0.98	0.95	0.87	1.02	1.02	1.02	0.99	0.94	0.86	1.02	1.02	1.01	0.99	0.89	0.89	1.02	1.02	1.02	1.00	0.96	0.88
PAR1	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90
ETR1	2.5305	2.4972	2.4632	1.8688	1.6354	1.1797	2.5509	2.5368	2.5658	1.9581	1.5685	0.8893	2.4838	2.3946	2.3361	2.0178	1.3383	0.9461	2.6575	2.5777	2.4872	2.1372	1.7154	0.9664
