FluorCam7 Numeric Avg Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18	Area 19	Area 20	Area 21	Area 22	Area 23	Area 24
Size [pixels]	1663	3385	2972	1238	3103	1063	3902	2386	1096	3193	2056	1145	2425	4170	4163	3400	1893	1430	3807	3284	3607	6299	4959	3303
Fo	2007.15	2144.11	1876.25	1585.88	2389.44	1997.43	2275.14	1787.95	1262.39	2405.06	2458.46	2564.48	1895.83	2255.01	2666.45	2432.92	2333.65	2941.66	2570.18	2784.48	3024.69	3531.94	4241.47	4184.04
Fm	5166.25	5568.01	4817.59	3809.97	4468.28	2553.02	5813.15	4685.15	2951.34	4730.43	3721.51	2851.77	4876.39	5744.93	6514.09	5328.54	3950.53	3291.30	7015.62	7426.03	7770.70	7932.17	7389.16	5947.51
Fv	3159.10	3423.90	2941.34	2224.09	2078.84	555.59	3538.01	2897.19	1688.95	2325.37	1263.04	287.29	2980.56	3489.92	3847.64	2895.62	1616.88	349.65	4445.43	4641.55	4746.01	4400.23	3147.69	1763.47
Fm_Lss1	4555.03	5100.25	4361.58	3380.28	4352.75	2447.93	5396.09	4390.95	2683.79	4463.29	3651.07	2918.44	4498.54	5263.19	5966.87	4976.37	3940.13	3338.24	6858.61	7299.85	7629.56	7592.03	7307.72	5863.17
Ft_Lss1	2072.61	2242.98	1961.49	1634.84	2713.83	2080.68	2442.84	1932.08	1348.62	2633.76	2583.80	2582.02	2018.45	2377.04	2825.50	2683.16	2584.96	3052.90	2794.34	3088.04	3300.73	3978.06	5097.94	4653.62
Fo_Lss1	1907.69	2070.97	1802.84	1506.19	2356.00	1932.52	2208.34	1743.38	1210.76	2334.03	2427.53	2618.27	1835.88	2176.80	2569.97	2356.76	2330.01	2979.10	2548.81	2766.55	3003.07	3462.86	4214.51	4142.12
Fv_Lss1	2647.33	3029.27	2558.74	1874.10	1996.75	515.41	3187.74	2647.57	1473.03	2129.25	1223.55	300.18	2662.66	3086.39	3396.89	2619.60	1610.12	359.15	4309.80	4533.30	4626.49	4129.17	3093.21	1721.04
Fq_Lss1	2482.41	2857.26	2400.08	1745.45	1638.92	367.26	2953.25	2458.87	1335.17	1829.53	1067.27	336.42	2480.09	2886.15	3141.36	2293.20	1355.17	285.34	4064.27	4211.81	4328.83	3613.97	2209.79	1209.55
QY_max	0.61	0.61	0.61	0.58	0.47	0.22	0.61	0.62	0.57	0.49	0.34	0.10	0.61	0.61	0.59	0.54	0.41	0.11	0.63	0.63	0.61	0.55	0.43	0.30
Fv/Fm_Lss1	0.58	0.59	0.59	0.55	0.46	0.21	0.59	0.60	0.55	0.48	0.34	0.10	0.59	0.59	0.57	0.53	0.41	0.11	0.63	0.62	0.61	0.54	0.42	0.29
QY_Lss1	0.54	0.56	0.55	0.52	0.38	0.15	0.55	0.56	0.50	0.41	0.29	0.12	0.55	0.55	0.53	0.46	0.34	0.09	0.59	0.58	0.57	0.48	0.30	0.21
NPQ_Lss1	0.13	0.09	0.10	0.13	0.03	0.04	0.08	0.07	0.10	0.06	0.02	-0.02	0.08	0.09	0.09	0.07	0.00	-0.01	0.02	0.02	0.02	0.04	0.01	0.01
qN_Lss1	0.19	0.13	0.15	0.19	0.05	0.17	0.12	0.10	0.15	0.11	0.05	-0.29	0.12	0.14	0.14	0.12	0.01	-0.15	0.04	0.03	0.03	0.08	0.03	0.05
qP_Lss1	0.94	0.94	0.94	0.93	0.82	0.71	0.93	0.93	0.91	0.86	0.87	1.12	0.93	0.94	0.92	0.88	0.84	0.79	0.94	0.93	0.94	0.88	0.71	0.70
qL_Lss1	1.02	1.02	1.02	1.01	0.95	0.77	1.02	1.03	1.01	0.97	0.93	1.11	1.02	1.02	1.02	1.00	0.93	0.81	1.03	1.04	1.03	1.01	0.86	0.79
PAR1	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90
ETR1	2.3768	2.4432	2.3999	2.2520	1.6421	0.6543	2.3869	2.4422	2.1697	1.7877	1.2749	0.5027	2.4044	2.3915	2.2960	2.0097	1.5000	0.3728	2.5844	2.5163	2.4744	2.0760	1.3188	0.8997
