FluorCam7 Numeric Avg Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18	Area 19	Area 20	Area 21	Area 22	Area 23	Area 24
Size [pixels]	2735	3580	4070	3490	2594	1524	2592	4697	3812	1563	2588	1645	2621	1225	3822	3092	2065	946	2401	4246	3809	3465	3106	1078
Fo	2385.32	2003.91	2595.34	2126.41	2471.34	2504.35	1954.52	1826.30	1892.26	1755.30	2455.48	2472.82	1792.28	1509.10	2120.84	2139.99	2451.21	2294.99	1819.87	2467.03	2302.55	2067.45	2408.33	2175.13
Fm	6419.57	5445.08	6888.96	5143.77	4206.54	3211.95	5036.91	4730.87	4633.85	3402.80	3993.41	2850.42	4709.46	3912.81	5113.40	4702.65	3990.19	2621.33	4841.70	6411.77	5795.84	4505.42	4479.64	2809.09
Fv	4034.24	3441.18	4293.62	3017.36	1735.20	707.60	3082.38	2904.57	2741.59	1647.50	1537.93	377.60	2917.18	2403.71	2992.55	2562.66	1538.98	326.34	3021.82	3944.74	3493.29	2437.97	2071.32	633.96
Fm_Lss1	6326.61	5435.69	6817.50	4942.07	4196.83	3136.13	4789.63	4487.03	4410.42	3231.77	3985.42	2855.35	4492.33	3739.50	4848.69	4359.49	3949.00	2631.99	4664.29	6262.16	5573.30	4258.19	4442.27	2883.81
Ft_Lss1	2543.05	2176.85	2804.19	2331.78	2948.45	2656.08	2050.77	1961.30	2012.04	1901.06	2689.02	2525.49	1903.29	1606.01	2237.12	2252.85	2685.54	2342.29	1921.39	2613.22	2441.88	2183.85	2633.80	2255.83
Fo_Lss1	2372.37	2002.63	2585.13	2091.13	2467.99	2458.01	1916.14	1788.78	1853.90	1708.66	2452.46	2476.53	1759.91	1482.60	2073.88	2065.98	2435.61	2303.15	1794.22	2444.56	2266.59	2013.80	2397.48	2219.66
Fv_Lss1	3954.24	3433.06	4232.37	2850.94	1728.84	678.12	2873.49	2698.25	2556.52	1523.11	1532.96	378.82	2732.42	2256.90	2774.81	2293.50	1513.39	328.83	2870.07	3817.60	3306.71	2244.39	2044.79	664.15
Fq_Lss1	3783.56	3258.84	4013.32	2610.30	1248.39	480.04	2738.85	2525.73	2398.38	1330.71	1296.41	329.86	2589.03	2133.50	2611.58	2106.63	1263.46	289.70	2742.90	3648.94	3131.42	2074.35	1808.47	627.98
QY_max	0.63	0.63	0.62	0.59	0.41	0.22	0.61	0.61	0.59	0.48	0.39	0.13	0.62	0.61	0.59	0.54	0.39	0.12	0.62	0.62	0.60	0.54	0.46	0.23
Fv/Fm_Lss1	0.63	0.63	0.62	0.58	0.41	0.22	0.60	0.60	0.58	0.47	0.38	0.13	0.61	0.60	0.57	0.53	0.38	0.12	0.62	0.61	0.59	0.53	0.46	0.23
QY_Lss1	0.60	0.60	0.59	0.53	0.30	0.15	0.57	0.56	0.54	0.41	0.33	0.12	0.58	0.57	0.54	0.48	0.32	0.11	0.59	0.58	0.56	0.49	0.41	0.22
NPQ_Lss1	0.01	0.00	0.01	0.04	0.00	0.02	0.05	0.05	0.05	0.05	0.00	-0.00	0.05	0.05	0.05	0.08	0.01	-0.00	0.04	0.02	0.04	0.06	0.01	-0.03
qN_Lss1	0.02	0.00	0.02	0.07	0.01	0.10	0.08	0.08	0.08	0.10	0.01	-0.01	0.07	0.07	0.09	0.13	0.03	-0.03	0.06	0.04	0.06	0.10	0.02	-0.13
qP_Lss1	0.96	0.95	0.95	0.92	0.72	0.71	0.95	0.94	0.94	0.87	0.85	0.87	0.95	0.95	0.94	0.92	0.83	0.88	0.96	0.96	0.95	0.92	0.88	0.95
qL_Lss1	1.03	1.03	1.03	1.02	0.86	0.76	1.02	1.03	1.02	0.97	0.93	0.89	1.02	1.02	1.02	1.00	0.92	0.90	1.02	1.02	1.02	1.00	0.97	0.96
PAR1	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90
ETR1	2.6082	2.6147	2.5673	2.3035	1.2973	0.6676	2.4939	2.4549	2.3716	1.7958	1.4186	0.5038	2.5135	2.4882	2.3490	2.1075	1.3953	0.4800	2.5647	2.5413	2.4504	2.1245	1.7755	0.9497
