FluorCam7 Numeric Avg Export File																								
-----------------------------------																								
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18	Area 19	Area 20	Area 21	Area 22	Area 23	Area 24
Size [pixels]	3684	5523	3684	4364	3150	3504	5252	3488	4080	5047	4900	3894	3508	4210	5636	4418	4641	3931	4341	3764	6207	4026	4425	3246
Fo	1718.73	2122.62	1884.78	1813.81	1857.32	1998.74	1691.09	1832.33	2031.87	2333.1	1738.41	1557.72	1860.89	2060.51	2366.33	2104.49	2013.03	1952.86	1732.55	1745.1	2445.89	2375.85	2027.77	2017.44
Fm	5534.27	6662.38	5914.62	5590.83	5460.35	4552.51	5833.49	6171.48	5621.71	7205.46	5230.99	3634.62	5586.38	6245.46	7001.98	5997.8	5688.65	4893.37	5290.27	5421.53	7051.58	6238.92	5332.88	4933.91
Fv	3815.54	4539.76	4029.84	3777.02	3603.03	2553.76	4142.4	4339.15	3589.83	4872.35	3492.59	2076.9	3725.49	4184.95	4635.65	3893.31	3675.62	2940.51	3557.72	3676.43	4605.69	3863.07	3305.11	2916.47
Fm_Lss1	5428.58	6522.47	5810.91	5525.11	5368.54	4051.84	5671.81	6041.8	5424.19	7013.17	4854.27	3049.44	5559.63	6223.88	6963.03	5983.01	5581.8	4796.34	5211.53	5360.73	7008.25	6103.04	5183.91	4998.05
Fm_Lss2	5243.58	6347	5710.66	5214.69	5030.42	3570.15	5496.75	5819.71	5291.62	6746.4	4304.52	2609.64	5431.21	6059.21	6654.28	5699.65	5208.6	4726.71	5085.97	5211.92	6734.53	5740.74	4815.36	4950.88
Fm_Lss3	5210.85	6230.41	5634.61	5206.53	4883.19	3312.8	5391.53	5699.9	5138.66	6049.3	3686.36	2550	5408.82	5982.59	6455.15	5563.87	4935.63	4731.22	5009.68	5159.1	6610.75	5438.53	4580.4	4870.38
Fm_Lss4	4985.79	5753.13	5331.05	5072.31	4627.83	3115.63	5156.03	5315.41	4944.03	5159.38	3105.59	2504.46	5173.75	5769.52	6199.92	5417.26	4634.37	4739.69	4904.44	5077.23	6441.13	5052.84	4285.65	4877.01
Fm_Lss5	4539.47	5090.09	4794	4770.94	4165.75	3005.74	4698.77	4721.53	4809.73	4479.45	2644.77	2501.78	4738.19	5373.01	5824	5115.74	4196.31	4694.72	4684.47	4827.91	6160.48	4641.78	3973.34	4837.35
Fm_Lss6	4053.72	4424.3	4196.28	4133.03	3586.52	2892.41	4175.53	4155.35	4628.39	3922.72	2354.22	2494.15	4166.75	4848.64	5292.46	4682.08	3686.27	4588.04	4332.62	4403.94	5730.06	4220.98	3642.07	4748.71
