FluorCam7 Numeric Avg Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18	Area 19	Area 20	Area 21	Area 22	Area 23	Area 24
Size [pixels]	2308	2889	2427	3244	4032	2545	2543	4253	2635	3780	2679	2537	3629	2165	4386	2313	1885	1638	2903	5329	3401	2796	5665	3111
Fo	2363.23	2923.87	2669.88	3134.45	3084.34	2986.66	2623.46	3394.00	3625.90	3278.50	2781.43	2733.96	2801.24	2631.29	2819.00	2650.42	2810.77	2872.37	2351.63	2549.17	2636.53	2583.30	3200.90	2498.09
Fm	7299.20	8594.96	7637.18	8981.90	8378.22	7436.18	7745.67	9722.18	10388.54	9278.26	7307.91	7097.10	8472.76	7551.62	8308.77	7377.15	7224.15	7449.07	7938.15	8154.91	8166.57	8037.76	9970.85	6888.11
Fv	4935.97	5671.09	4967.30	5847.44	5293.88	4449.52	5122.21	6328.18	6762.64	5999.77	4526.48	4363.14	5671.51	4920.33	5489.77	4726.73	4413.38	4576.71	5586.52	5605.74	5530.04	5454.46	6769.95	4390.01
Fm_Lss1	7169.65	8444.85	7491.09	8855.87	8209.19	7321.34	7570.43	9553.81	10248.20	9017.20	6806.68	7116.12	8337.94	7472.93	8086.44	7309.59	6794.46	7387.42	7715.64	7843.50	7898.99	7550.83	9360.40	6826.10
Fm_Lss2	6908.76	8079.27	7140.01	8271.32	7553.11	7127.66	7309.81	9174.32	9681.69	8408.97	5676.25	6960.61	8026.50	7047.62	7638.56	6701.64	5750.64	7151.01	7398.79	7458.79	7402.72	6901.67	7729.69	6630.01
Fm_Lss3	6856.68	8123.32	7021.14	8094.98	6976.24	7202.42	7354.87	8835.52	9284.27	8099.42	4855.81	7030.30	7867.20	6895.81	7381.93	6524.46	5095.40	7303.24	7322.51	7355.33	7278.86	6463.38	6354.71	6705.15
Fm_Lss4	6650.26	7904.47	6793.07	7657.96	6361.85	7171.69	6963.34	8215.63	8335.10	7557.16	4223.57	6983.16	7415.34	6489.25	6916.32	6125.98	4486.40	7277.50	7141.38	7055.29	6962.30	5716.28	5336.27	6670.25
Fm_Lss5	6214.16	7415.95	6334.68	7027.42	5665.92	7111.17	6308.31	7421.75	7314.42	6835.46	3785.03	6762.97	6751.18	5955.28	6330.98	5638.61	4090.28	7024.20	6710.93	6606.00	6645.54	5096.43	4672.55	6647.01
Fm_Lss6	5563.78	6736.12	5832.72	6403.16	5074.10	7026.10	5526.49	6708.06	6422.40	6201.47	3496.33	6619.06	6005.52	5392.78	5632.18	5232.99	3786.43	6763.86	6164.28	6128.09	6225.98	4557.26	4222.46	6420.90
Fm_Lss7	4967.53	5963.78	5236.37	5651.96	4564.51	6642.15	4840.42	5979.44	5689.35	5580.12	3219.82	6205.04	5327.40	4791.78	5087.92	4581.68	3533.41	6312.18	5629.38	5626.71	5706.32	4078.12	3917.59	6063.49
Fm_Lss8	4492.09	5401.46	4759.11	5228.15	4244.64	6429.12	4347.95	5496.16	5266.23	5142.73	3104.32	5975.85	4875.44	4448.05	4621.92	4337.52	3481.42	6121.62	5081.20	5228.72	5363.70	3818.02	3765.36	5873.92
Fm_Lss9	4029.85	4805.90	4211.64	4693.11	3932.66	6164.11	3920.79	4951.30	4783.08	4668.41	2995.70	5630.42	4378.93	4052.22	4207.68	3912.44	3254.76	5672.51	4685.59	4850.02	4929.18	3503.09	3581.04	5533.14
Fm_Lss10	3651.44	4418.67	3830.70	4404.30	3732.02	5941.94	3576.35	4575.16	4519.88	4349.88	2975.03	5333.25	4034.63	3746.60	3860.98	3726.84	3220.52	5467.44	4292.79	4566.95	4741.05	3336.10	3533.07	5305.21
Fm_Lss11	3357.18	4029.46	3457.14	4076.52	3596.39	5598.97	3296.35	4239.90	4247.54	4059.91	2937.42	5038.36	3725.92	3473.00	3568.76	3468.18	3197.64	5072.67	3993.66	4273.36	4385.05	3123.96	3481.33	5075.92
Fm_Lss12	3105.23	3666.84	3179.24	3780.09	3453.94	5254.96	3073.81	3916.50	3975.52	3839.33	2901.72	4765.79	3450.79	3162.43	3309.94	3297.64	3185.98	4751.56	3694.36	3974.89	4114.09	2987.31	3391.18	4798.08
Fm_Lss13	2901.35	3493.45	2929.96	3644.52	3382.27	4986.67	2893.76	3742.76	3838.01	3654.40	2938.88	4482.55	3281.76	2944.74	3171.95	3102.28	3257.84	4475.74	3498.11	3750.08	3845.83	2844.09	3449.75	4618.54
Fm_Lss14	2725.96	3247.73	2769.90	3463.99	3283.67	4673.02	2721.91	3528.14	3689.74	3457.77	3053.41	4184.50	3120.71	2779.61	2999.94	2926.79	3414.43	4177.15	3240.79	3514.30	3567.81	2730.79	3535.43	4376.03
Fm_Lss15	2640.06	3169.55	2678.53	3375.14	3245.06	4465.15	2667.89	3425.19	3606.81	3393.59	3276.33	4007.27	2969.55	2647.43	2895.21	2818.77	3561.88	4022.80	3135.03	3334.48	3320.36	2660.58	3699.52	4209.29
