FluorCam7 Numeric Avg Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18	Area 19	Area 20	Area 21	Area 22	Area 23	Area 24
Size [pixels]	4029	2911	5772	2480	3570	675	3923	4045	5095	2672	3667	1504	5335	4790	4834	5220	2587	646	2798	3365	6811	2437	5382	2630
Fo	1933.51	1996.35	1918.17	2097.30	2079.75	2057.65	1888.11	2258.83	2180.42	2234.39	2526.90	2467.73	1916.99	1957.19	2128.02	2371.03	2190.31	2037.86	1902.26	2308.27	2834.53	2021.08	3392.83	3076.79
Fm	4876.72	5050.84	4541.28	4121.14	3853.86	2513.27	4656.26	5356.13	5039.67	4229.48	3753.08	2739.00	4850.93	4905.32	5021.15	4994.64	3590.78	2245.82	5242.61	6453.60	7410.43	4270.43	5785.39	4047.90
Fv	2943.21	3054.49	2623.11	2023.83	1774.11	455.62	2768.15	3097.30	2859.26	1995.09	1226.18	271.28	2933.95	2948.13	2893.13	2623.62	1400.46	207.96	3340.35	4145.33	4575.90	2249.35	2392.55	971.11
Fm_Lss1	4664.07	4848.38	4290.89	3896.13	3873.49	2504.41	4322.50	4970.11	4657.49	3976.70	3770.08	2749.39	4623.85	4632.28	4705.62	4665.71	3604.77	2288.16	5269.71	6353.78	7285.32	4049.62	5762.89	4043.38
Ft_Lss1	2018.00	2087.52	1971.29	2205.28	2347.10	2130.57	1969.83	2347.80	2230.99	2357.24	2658.76	2514.34	2029.23	2060.06	2195.15	2457.97	2367.57	2086.42	2036.75	2474.49	3041.58	2252.65	4081.40	3243.14
Fo_Lss1	1899.18	1963.94	1872.02	2037.42	2085.46	2051.71	1830.78	2187.19	2105.66	2161.79	2534.60	2476.16	1880.49	1912.22	2069.22	2294.25	2195.51	2072.66	1905.81	2295.37	2816.03	1970.24	3385.08	3074.18
Fv_Lss1	2764.89	2884.44	2418.86	1858.71	1788.04	452.70	2491.72	2782.92	2551.83	1814.91	1235.48	273.24	2743.36	2720.07	2636.41	2371.47	1409.26	215.49	3363.90	4058.41	4469.29	2079.38	2377.81	969.20
Fq_Lss1	2646.06	2760.86	2319.59	1690.85	1526.39	373.84	2352.67	2622.31	2426.50	1619.46	1111.33	235.06	2594.62	2572.23	2510.48	2207.75	1237.20	201.74	3232.96	3879.29	4243.74	1796.97	1681.49	800.25
QY_max	0.60	0.60	0.58	0.49	0.46	0.18	0.59	0.58	0.57	0.47	0.33	0.10	0.60	0.60	0.58	0.53	0.39	0.09	0.64	0.64	0.62	0.53	0.41	0.24
Fv/Fm_Lss1	0.59	0.59	0.56	0.48	0.46	0.18	0.58	0.56	0.55	0.46	0.33	0.10	0.59	0.59	0.56	0.51	0.39	0.09	0.64	0.64	0.61	0.51	0.41	0.24
QY_Lss1	0.57	0.57	0.54	0.43	0.39	0.15	0.54	0.53	0.52	0.41	0.29	0.09	0.56	0.56	0.53	0.47	0.34	0.09	0.61	0.61	0.58	0.44	0.29	0.20
NPQ_Lss1	0.05	0.04	0.06	0.06	-0.01	0.00	0.08	0.08	0.08	0.06	-0.00	-0.00	0.05	0.06	0.07	0.07	-0.00	-0.02	-0.01	0.02	0.02	0.05	0.00	0.00
qN_Lss1	0.07	0.07	0.09	0.11	-0.01	0.02	0.12	0.12	0.13	0.12	-0.01	-0.04	0.08	0.09	0.11	0.12	-0.01	-0.24	-0.01	0.02	0.03	0.10	0.01	0.00
qP_Lss1	0.96	0.96	0.96	0.91	0.85	0.83	0.94	0.94	0.95	0.89	0.90	0.86	0.95	0.95	0.95	0.93	0.88	0.94	0.96	0.96	0.95	0.86	0.71	0.83
qL_Lss1	1.02	1.02	1.01	0.98	0.96	0.86	1.02	1.01	1.01	0.97	0.94	0.87	1.02	1.02	1.01	1.00	0.95	0.94	1.03	1.03	1.03	0.99	0.85	0.87
PAR1	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90
ETR1	2.4742	2.4834	2.3576	1.8927	1.7186	0.6510	2.3737	2.3010	2.2721	1.7760	1.2856	0.3729	2.4472	2.4217	2.3267	2.0637	1.4968	0.3845	2.6756	2.6627	2.5404	1.9352	1.2725	0.8631
