FluorCam7 Numeric Avg Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18	Area 19	Area 20	Area 21	Area 22	Area 23	Area 24
Size [pixels]	4628	5209	5578	6036	5092	5947	4890	3552	4541	5495	5370	3587	3080	5532	4425	4441	1943	2618	4186	4505	4466	4338	5039	4193
Fo	1887.61	1746.09	2028.43	2123.86	1778.64	1407.16	2135.08	1891.15	2106.58	2070.58	1833.39	1698.02	1329.13	2024.07	1868.73	2064.52	1521.03	1560.60	1524.71	1982.95	1905.66	1771.46	1755.66	1601.57
Fm	5599.99	5193.78	5957.92	6420.68	5433.13	4249.42	6386.15	5688.20	6556.32	6370.00	5724.61	5344.74	4374.84	6686.56	6119.74	6694.79	4931.46	5165.63	4513.15	5819.97	5490.03	5495.96	5073.21	5075.63
Fv	3712.38	3447.69	3929.49	4296.82	3654.49	2842.26	4251.07	3797.05	4449.73	4299.42	3891.22	3646.72	3045.70	4662.49	4251.01	4630.27	3410.43	3605.03	2988.45	3837.02	3584.37	3724.49	3317.55	3474.06
Fm_Lss1	5542.41	5120.88	5895.76	6409.58	5371.13	4184.84	6312.87	5600.31	6457.63	6316.22	5624.99	5278.16	4334.49	6546.14	6015.46	6639.50	4853.33	5095.26	4493.46	5778.28	5465.25	5440.24	5062.51	5046.99
Ft_Lss1	2045.28	1872.10	2184.73	2306.45	1918.22	1511.11	2308.89	2026.38	2248.54	2217.31	1959.80	1831.99	1446.23	2183.49	1994.12	2223.71	1636.08	1682.29	1629.60	2142.65	2054.27	1906.15	1882.92	1716.87
Fo_Lss1	1881.03	1737.77	2021.18	2122.65	1771.95	1400.01	2126.83	1881.34	2096.29	2064.87	1823.05	1691.25	1325.38	2011.02	1858.89	2059.23	1513.51	1554.11	1522.45	1978.09	1902.67	1765.63	1754.38	1598.71
Fv_Lss1	3661.38	3383.11	3874.58	4286.93	3599.19	2784.83	4186.04	3718.98	4361.34	4251.35	3801.93	3586.92	3009.10	4535.12	4156.57	4580.27	3339.82	3541.14	2971.01	3800.19	3562.58	3674.60	3308.13	3448.28
Fq_Lss1	3497.13	3248.77	3711.03	4103.13	3452.91	2673.73	4003.98	3573.94	4209.08	4098.91	3665.18	3446.18	2888.26	4362.65	4021.35	4415.79	3217.25	3412.97	2863.87	3635.63	3410.98	3534.09	3179.59	3330.12
QY_max	0.66	0.66	0.66	0.67	0.67	0.67	0.67	0.67	0.68	0.67	0.68	0.68	0.70	0.70	0.69	0.69	0.69	0.70	0.66	0.66	0.65	0.68	0.65	0.68
Fv/Fm_Lss1	0.66	0.66	0.66	0.67	0.67	0.67	0.66	0.66	0.68	0.67	0.68	0.68	0.69	0.69	0.69	0.69	0.69	0.69	0.66	0.66	0.65	0.68	0.65	0.68
QY_Lss1	0.63	0.63	0.63	0.64	0.64	0.64	0.63	0.64	0.65	0.65	0.65	0.65	0.67	0.67	0.67	0.67	0.66	0.67	0.64	0.63	0.62	0.65	0.63	0.66
NPQ_Lss1	0.01	0.01	0.01	0.00	0.01	0.02	0.01	0.02	0.02	0.01	0.02	0.01	0.01	0.02	0.02	0.01	0.02	0.01	0.00	0.01	0.00	0.01	0.00	0.01
qN_Lss1	0.02	0.02	0.02	0.00	0.02	0.02	0.02	0.02	0.02	0.01	0.03	0.02	0.01	0.03	0.02	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.00	0.01
qP_Lss1	0.96	0.96	0.96	0.96	0.96	0.96	0.96	0.96	0.97	0.96	0.96	0.96	0.96	0.96	0.97	0.96	0.96	0.96	0.96	0.96	0.96	0.96	0.96	0.97
qL_Lss1	1.04	1.03	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.05	1.04	1.04	1.04	1.04	1.04	1.03	1.04	1.03	1.04	1.03	1.04
PAR1	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90
ETR1	2.7518	2.7668	2.7451	2.7918	2.8037	2.7864	2.7661	2.7832	2.8426	2.8302	2.8417	2.8475	2.9061	2.9065	2.9155	2.9005	2.8910	2.9213	2.7796	2.7440	2.7219	2.8331	2.7391	2.8776
