FluorCam7 Numeric Avg Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18	Area 19	Area 20	Area 21	Area 22	Area 23	Area 24
Size [pixels]	4446	5897	4982	6655	3691	5606	4653	4243	4635	5242	5083	4130	3578	5261	3500	3229	5091	3190	5436	4512	5446	4090	5219	3860
Fo	2046.61	2451.81	2357.81	2384.64	2169.40	2156.90	1866.24	1909.86	2431.11	2124.80	2409.30	1839.49	1896.80	2320.08	3286.89	2373.61	2372.18	1891.87	1826.02	2312.05	2268.55	1952.42	2290.53	1714.83
Fm	6063.68	6914.02	6793.94	6274.14	6073.79	5840.43	5547.57	5479.49	7258.85	6139.04	7013.75	5521.16	5269.35	6230.43	8448.86	6318.38	6392.59	5354.56	5454.30	6782.18	7218.11	6029.57	6997.85	5127.94
Fv	4017.08	4462.21	4436.13	3889.50	3904.39	3683.53	3681.33	3569.62	4827.74	4014.23	4604.45	3681.67	3372.56	3910.35	5161.98	3944.77	4020.41	3462.69	3628.28	4470.14	4949.56	4077.15	4707.32	3413.11
Fm_Lss1	5926.90	6781.23	6641.38	6170.16	5948.38	5749.34	5396.59	5360.38	7090.46	5989.97	6865.15	5367.57	5133.40	6088.16	8281.26	6168.57	6273.53	5250.26	5250.64	6603.17	7032.81	5880.64	6847.24	5009.26
Ft_Lss1	2129.55	2580.71	2484.10	2540.20	2262.71	2246.38	1971.36	1999.99	2544.42	2242.31	2510.60	1911.69	2015.28	2464.02	3429.87	2512.27	2466.33	1974.96	1957.53	2442.58	2387.98	2049.51	2414.89	1808.84
Fo_Lss1	2030.79	2434.90	2339.17	2369.46	2153.18	2144.36	1848.84	1895.18	2411.93	2106.66	2391.51	1822.12	1878.88	2300.06	3261.21	2352.15	2355.59	1878.69	1802.61	2290.87	2249.92	1936.54	2274.16	1701.35
Fv_Lss1	3896.11	4346.33	4302.21	3800.70	3795.20	3604.99	3547.75	3465.19	4678.53	3883.31	4473.63	3545.45	3254.51	3788.09	5020.05	3816.43	3917.94	3371.57	3448.03	4312.30	4782.89	3944.11	4573.09	3307.91
Fq_Lss1	3797.35	4200.52	4157.28	3629.96	3685.67	3502.96	3425.23	3360.39	4546.04	3747.66	4354.54	3455.87	3118.12	3624.13	4851.39	3656.31	3807.20	3275.30	3293.11	4160.59	4644.82	3831.14	4432.35	3200.42
QY_max	0.66	0.65	0.65	0.62	0.64	0.63	0.66	0.65	0.67	0.65	0.66	0.67	0.64	0.63	0.61	0.62	0.63	0.65	0.67	0.66	0.69	0.68	0.67	0.67
Fv/Fm_Lss1	0.66	0.64	0.65	0.62	0.64	0.63	0.66	0.65	0.66	0.65	0.65	0.66	0.63	0.62	0.61	0.62	0.62	0.64	0.66	0.65	0.68	0.67	0.67	0.66
QY_Lss1	0.64	0.62	0.63	0.59	0.62	0.61	0.63	0.63	0.64	0.63	0.63	0.64	0.61	0.60	0.59	0.59	0.61	0.62	0.63	0.63	0.66	0.65	0.65	0.64
NPQ_Lss1	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.02	0.02	0.02	0.02	0.03	0.03	0.02	0.02	0.02	0.02	0.02	0.04	0.03	0.03	0.03	0.02	0.02
qN_Lss1	0.03	0.03	0.03	0.03	0.03	0.02	0.04	0.03	0.03	0.04	0.03	0.04	0.04	0.04	0.03	0.04	0.03	0.03	0.06	0.04	0.04	0.04	0.03	0.03
qP_Lss1	0.97	0.97	0.97	0.96	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.96	0.96	0.97	0.96	0.97	0.97	0.96	0.96	0.97	0.97	0.97	0.97
qL_Lss1	1.02	1.02	1.03	1.02	1.02	1.02	1.03	1.02	1.03	1.03	1.02	1.02	1.03	1.02	1.02	1.02	1.02	1.02	1.04	1.03	1.03	1.03	1.03	1.03
PAR1	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90
ETR1	2.7942	2.7015	2.7300	2.5657	2.7022	2.6572	2.7681	2.7340	2.7962	2.7286	2.7663	2.8079	2.6491	2.5961	2.5549	2.5850	2.6467	2.7207	2.7353	2.7479	2.8804	2.8412	2.8231	2.7864
