FluorCam7 Numeric Avg Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18	Area 19	Area 20	Area 21	Area 22	Area 23	Area 24
Size [pixels]	4704	4055	5725	4002	3984	2798	4336	4953	4619	6739	4080	3934	5232	3722	2731	5141	4407	5085	4200	6268	4411	4947	2891	2781
Fo	1707.86	2021.68	2256.50	2219.93	1842.74	1351.56	2050.27	2115.67	2706.39	2651.04	2238.30	2112.99	2159.60	2065.56	1902.89	2091.64	1955.05	2080.53	1779.99	2237.48	2206.12	2177.58	1653.83	1626.84
Fm	5603.18	6469.95	7163.81	6878.06	5280.06	3428.62	6093.36	6242.34	7918.66	7392.59	5990.49	5471.84	7118.82	6564.93	5875.82	6369.51	5493.92	5583.49	5921.16	7373.72	7165.75	6549.03	4612.24	4506.82
Fv	3895.31	4448.27	4907.31	4658.13	3437.31	2077.06	4043.09	4126.67	5212.27	4741.55	3752.19	3358.85	4959.21	4499.36	3972.93	4277.87	3538.87	3502.96	4141.16	5136.24	4959.63	4371.45	2958.41	2879.99
Fm_Lss1	5501.45	6314.89	6887.62	6568.83	4859.01	3165.99	6115.58	6250.68	7945.30	7314.43	5839.49	5160.52	7040.53	6524.23	5779.05	6085.58	5065.55	5279.87	5936.44	7319.77	7131.55	6351.78	4324.01	4442.73
Fm_Lss2	5086.35	5831.67	6348.29	5846.07	3963.18	2920.24	5821.66	5874.82	7549.89	6941.51	5225.41	4515.95	6824.47	6179.77	5301.35	5565.81	4343.71	4894.14	5588.83	6973.76	6755.63	5953.92	3708.52	4131.29
Fm_Lss3	5124.91	5842.96	6214.21	5548.40	3590.54	3081.03	5882.47	5852.52	7558.58	6892.68	5038.86	4164.00	6877.92	6258.86	5154.95	5343.22	3953.47	4874.18	5716.30	6970.52	6743.57	5903.37	3435.54	4166.88
Fm_Lss4	4941.29	5723.29	5845.69	5088.83	3234.48	3091.22	5715.72	5600.83	7184.51	6615.00	4734.88	3866.44	6694.99	6022.04	4749.21	4842.67	3556.08	4914.57	5593.81	6757.41	6391.15	5647.78	3142.51	4149.18
Fm_Lss5	4693.06	5514.70	5417.96	4602.59	2844.07	3085.97	5480.74	5251.56	6578.84	6161.84	4423.08	3616.17	6477.62	5669.85	4368.68	4396.04	3226.69	4866.04	5410.63	6328.20	5912.65	5311.17	2836.30	4083.43
Fm_Lss6	4395.70	5156.53	4887.33	3992.21	2547.82	2545.20	5066.40	4790.50	5856.99	5639.05	4038.26	3456.06	6128.51	5281.46	3973.88	3926.06	2887.30	4777.43	5179.56	5904.93	5427.02	4893.70	2515.43	4003.23
Fm_Lss7	4019.51	4745.95	4404.70	3542.11	2344.97	2455.97	4599.59	4316.56	5235.20	5052.97	3676.84	3354.83	5753.43	4915.95	3590.29	3493.21	2593.10	4615.52	4835.23	5405.39	4892.45	4419.25	2253.41	3836.34
Fm_Lss8	3682.16	4285.71	3948.00	3196.86	2147.37	2362.55	4135.04	3900.57	4654.70	4540.24	3302.31	3281.70	5407.69	4519.40	3297.84	3138.56	2396.66	4480.61	4520.49	5001.69	4465.46	4018.64	2057.65	3755.66
Fm_Lss9	3397.80	3897.17	3627.86	2947.50	2050.23	2257.37	3742.57	3559.27	4241.38	4111.90	3001.44	3310.72	5092.45	4211.91	3096.04	2880.55	2242.76	4307.45	4282.79	4678.30	4115.02	3679.72	1918.22	3615.88
Fm_Lss10	3123.15	3515.82	3336.16	2787.39	2001.47	2225.11	3411.71	3253.22	3843.81	3733.34	2756.10	3321.37	4776.28	3884.56	2830.52	2677.10	2094.92	4140.15	3933.71	4332.34	3789.00	3353.97	1827.56	3454.13
Fm_Lss11	2790.21	3146.68	3103.39	2579.02	1910.45	2039.85	3060.64	2943.98	3511.83	3375.30	2494.02	3310.30	4408.02	3502.62	2613.10	2491.89	1971.38	3848.36	3604.51	3981.34	3398.14	3041.78	1656.60	3256.25
Fm_Lss12	2678.44	2957.47	2952.50	2548.72	1918.94	1887.06	2893.08	2812.39	3380.47	3154.79	2416.28	3377.27	4203.31	3370.84	2534.89	2379.74	1951.56	3743.35	3490.11	3795.50	3275.90	2896.83	1635.86	3165.76
